DATOS HORARIOS 2022_DIF,,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR,UV
FEBRERO,1,0,0.0207,0.0055,1.49,NA,41,11,16.07,3.40,227.04,27.33,621.96,0.01
FEBRERO,1,1,0.0191,0.0055,1.46,NA,43,8,14.86,2.02,240.60,29.74,621.78,0.01
FEBRERO,1,2,0.0206,0.0056,1.46,NA,24,9,14.69,2.47,213.00,31.28,621.57,0.01
FEBRERO,1,3,0.0171,0.0057,1.49,NA,29,9,13.82,1.61,202.41,32.67,621.46,0.01
FEBRERO,1,4,0.0100,0.0056,1.53,NA,26,10,12.83,1.07,179.50,35.33,621.19,0.01
FEBRERO,1,5,0.0015,0.0061,1.61,NA,32,11,11.11,1.05,225.04,39.32,621.07,0.01
FEBRERO,1,6,0.0022,0.0062,1.70,NA,37,21,10.55,0.95,208.78,40.43,621.09,0.01
FEBRERO,1,7,0.0025,0.0076,1.97,NA,49,23,9.63,1.28,274.13,43.52,621.32,0.01
FEBRERO,1,8,0.0021,0.0087,2.28,NA,82,23,9.94,2.06,287.47,42.34,621.68,0.07
FEBRERO,1,9,0.0040,0.0086,2.48,NA,85,31,12.95,1.41,129.49,35.17,622.08,0.52
FEBRERO,1,10,0.0117,0.0080,2.17,NA,96,34,16.60,1.28,147.54,27.47,622.42,1.35
FEBRERO,1,11,0.0276,0.0070,1.73,NA,52,29,18.86,2.07,261.59,25.99,622.46,2.34
FEBRERO,1,12,0.0409,0.0060,1.59,NA,30,19,21.08,3.61,261.37,22.88,621.87,3.28
FEBRERO,1,13,0.0415,0.0057,1.54,NA,16,14,22.89,4.68,261.37,18.61,621.12,3.78
FEBRERO,1,14,0.0409,0.0056,1.54,NA,6,19,24.16,4.25,253.89,17.46,620.34,3.80
FEBRERO,1,15,0.0405,0.0056,1.51,NA,7,7,25.27,4.27,258.28,17.05,619.51,3.26
FEBRERO,1,16,0.0381,0.0057,1.49,NA,27,6,25.79,3.96,259.56,17.56,618.91,2.40
FEBRERO,1,17,0.0395,0.0058,1.47,NA,24,5,25.83,4.33,264.09,16.87,618.66,1.38
FEBRERO,1,18,0.0397,0.0058,1.51,NA,35,7,25.10,3.95,256.26,18.68,618.77,0.51
FEBRERO,1,19,0.0330,0.0060,1.68,NA,60,64,23.01,3.24,218.41,23.78,619.06,0.06
FEBRERO,1,20,0.0216,0.0062,1.76,NA,68,11,20.79,2.30,239.54,27.19,619.36,0.01
FEBRERO,1,21,0.0212,0.0062,1.69,NA,71,19,18.75,2.38,269.83,30.70,619.70,0.01
FEBRERO,1,22,0.0346,0.0061,1.78,NA,64,13,17.76,1.76,252.45,31.89,619.95,0.01
FEBRERO,1,23,0.0260,0.0060,1.65,NA,70,13,16.87,2.11,226.45,32.86,620.38,0.01
FEBRERO,2,0,0.0167,0.0060,1.56,NA,43,14,16.17,1.48,270.84,37.74,620.69,0.01
FEBRERO,2,1,0.0146,0.0062,1.59,NA,51,16,14.88,1.43,280.60,44.44,620.76,0.01
FEBRERO,2,2,0.0179,0.0064,1.59,NA,42,15,14.12,1.37,251.19,48.09,620.72,0.01
FEBRERO,2,3,0.0166,0.0063,1.61,NA,42,16,12.99,1.30,270.30,51.13,620.66,0.01
FEBRERO,2,4,0.0138,0.0078,1.64,NA,40,28,12.37,1.26,255.94,53.57,620.50,0.01
FEBRERO,2,5,0.0072,0.0074,1.66,NA,47,23,11.74,1.22,226.83,54.42,620.53,0.01
FEBRERO,2,6,0.0021,0.0071,1.74,NA,45,16,11.73,1.03,221.76,53.91,620.59,0.01
FEBRERO,2,7,0.0007,0.0084,1.99,NA,50,31,11.59,0.86,219.69,51.67,620.72,0.01
FEBRERO,2,8,0.0008,0.0083,2.75,NA,94,23,10.86,0.75,246.42,53.41,621.18,0.07
FEBRERO,2,9,0.0030,0.0089,3.37,NA,138,38,13.95,0.85,151.93,45.33,621.67,0.51
FEBRERO,2,10,0.0100,0.0077,2.55,NA,125,68,17.79,0.88,165.83,38.39,622.00,1.35
FEBRERO,2,11,0.0274,0.0066,1.68,NA,55,32,19.51,1.96,228.03,36.99,622.04,2.39
FEBRERO,2,12,0.0348,0.0062,1.58,NA,23,17,20.74,2.93,245.51,30.93,621.67,3.35
FEBRERO,2,13,0.0398,0.0060,1.53,NA,5,11,22.38,3.47,272.79,26.51,620.95,3.83
FEBRERO,2,14,0.0417,0.0059,1.55,NA,3,13,24.12,3.23,263.39,21.20,620.01,3.85
FEBRERO,2,15,0.0385,0.0059,1.55,NA,18,20,25.08,3.74,241.39,18.05,619.14,3.34
FEBRERO,2,16,0.0354,0.0058,1.51,NA,22,11,25.76,4.38,247.24,18.71,618.62,2.42
FEBRERO,2,17,0.0337,0.0058,1.50,NA,48,9,25.86,4.33,256.10,18.67,618.46,1.41
FEBRERO,2,18,0.0280,0.0057,1.48,NA,32,7,25.18,4.65,253.56,19.07,618.58,0.54
FEBRERO,2,19,0.0187,0.0059,1.53,NA,76,7,22.83,3.30,264.71,23.19,618.79,0.07
FEBRERO,2,20,0.0071,0.0061,1.82,NA,52,5,20.71,1.87,219.37,27.35,619.36,0.01
FEBRERO,2,21,0.0155,0.0060,1.72,NA,58,6,20.52,2.81,214.96,27.11,620.11,0.01
FEBRERO,2,22,0.0206,0.0062,1.57,NA,52,10,19.26,4.32,217.19,33.56,620.64,0.01
FEBRERO,2,23,0.0186,0.0061,1.55,NA,40,10,18.04,3.10,230.31,38.33,621.07,0.01
FEBRERO,3,0,0.0161,0.0061,1.56,NA,33,11,16.59,1.11,201.51,43.75,621.41,0.01
FEBRERO,3,1,0.0104,0.0063,1.62,NA,41,13,16.00,1.82,279.98,46.24,621.54,0.01
FEBRERO,3,2,0.0069,0.0070,1.60,NA,43,18,14.33,1.74,273.75,50.23,621.74,0.01
FEBRERO,3,3,0.0071,0.0065,1.58,NA,36,22,13.76,1.41,272.47,53.50,621.70,0.01
FEBRERO,3,4,0.0105,0.0064,1.57,NA,31,18,13.40,1.80,265.21,54.44,621.76,0.01
FEBRERO,3,5,0.0168,0.0063,1.57,NA,23,12,12.99,1.31,236.12,56.88,621.62,0.01
FEBRERO,3,6,0.0076,0.0063,1.63,NA,33,17,11.39,1.87,252.30,62.11,621.75,0.01
FEBRERO,3,7,0.0110,0.0067,1.80,NA,39,21,11.10,1.27,250.03,62.31,622.12,0.01
FEBRERO,3,8,0.0090,0.0072,2.25,NA,64,30,11.08,1.00,280.05,62.11,622.59,0.07
FEBRERO,3,9,0.0088,0.0073,2.32,NA,70,39,14.37,0.95,254.13,48.68,623.14,0.53
FEBRERO,3,10,0.0184,0.0067,1.79,NA,67,40,16.78,1.58,260.98,43.97,623.61,1.40
FEBRERO,3,11,0.0348,0.0065,1.60,NA,27,19,18.88,1.93,247.99,39.31,623.68,2.42
FEBRERO,3,12,0.0372,0.0065,1.55,NA,16,15,20.77,1.94,227.58,34.54,623.32,3.33
FEBRERO,3,13,0.0348,0.0062,1.55,NA,4,12,22.45,2.95,247.05,25.74,622.70,3.84
FEBRERO,3,14,0.0406,0.0063,1.58,NA,14,11,23.25,3.77,262.74,26.57,621.96,3.87
FEBRERO,3,15,0.0385,0.0060,1.50,NA,17,21,24.45,4.82,269.74,20.77,621.32,3.35
FEBRERO,3,16,0.0398,0.0060,1.49,NA,30,14,24.65,5.38,270.25,19.18,620.91,2.46
FEBRERO,3,17,0.0387,0.0059,1.49,NA,80,12,24.98,5.27,276.05,18.52,620.87,1.40
FEBRERO,3,18,0.0382,0.0059,1.50,NA,44,10,24.23,4.71,269.71,20.68,621.07,0.52
FEBRERO,3,19,0.0278,0.0059,1.57,NA,43,9,22.00,3.58,259.82,23.63,621.46,0.06
FEBRERO,3,20,0.0162,0.0066,1.83,NA,49,7,20.42,2.36,233.13,22.86,622.04,0.01
FEBRERO,3,21,0.0123,0.0067,1.80,NA,57,10,19.52,2.32,208.61,23.31,622.67,0.01
FEBRERO,3,22,0.0111,0.0061,1.69,NA,48,16,19.25,2.25,194.53,23.73,623.17,0.01
FEBRERO,3,23,0.0118,0.0062,1.63,NA,42,16,18.34,2.08,211.95,26.12,623.44,0.01
FEBRERO,4,0,0.0161,0.0060,1.55,NA,34,14,18.04,2.43,220.83,28.03,623.68,0.01
FEBRERO,4,1,0.0159,0.0063,1.51,NA,28,13,16.56,1.62,251.12,31.82,623.53,0.01
FEBRERO,4,2,0.0086,0.0063,1.59,NA,30,12,15.15,0.91,243.52,35.37,623.50,0.01
FEBRERO,4,3,0.0008,0.0062,1.65,NA,30,13,14.33,0.69,222.23,37.60,623.49,0.01
FEBRERO,4,4,NA,0.0068,1.67,NA,39,17,13.24,0.91,240.31,40.29,623.52,0.01
FEBRERO,4,5,NA,0.0069,1.69,NA,29,21,12.46,0.96,265.38,43.71,623.68,0.01
FEBRERO,4,6,NA,0.0068,1.87,NA,42,18,11.94,1.10,183.70,46.02,623.86,0.01
FEBRERO,4,7,NA,0.0070,2.17,NA,47,19,11.13,1.15,122.67,50.08,624.23,0.01
FEBRERO,4,8,NA,0.0081,2.90,NA,84,24,11.42,0.76,162.21,48.73,624.72,0.08
FEBRERO,4,9,0.0017,0.0078,2.83,NA,116,29,13.60,1.24,134.55,41.66,625.14,0.53
FEBRERO,4,10,0.0086,0.0086,2.04,NA,91,37,16.54,1.64,110.25,37.16,625.58,1.38
FEBRERO,4,11,0.0281,0.0360,1.95,NA,67,36,19.60,1.48,178.38,32.17,625.87,2.39
FEBRERO,4,12,0.0357,0.0153,1.72,NA,51,26,20.83,2.20,240.13,28.44,625.68,3.34
FEBRERO,4,13,0.0409,0.0069,1.57,NA,20,17,22.43,2.02,230.79,24.40,625.08,3.81
FEBRERO,4,14,0.0417,0.0065,1.57,NA,13,14,23.64,2.49,228.14,22.17,624.35,3.90
FEBRERO,4,15,0.0373,0.0061,1.49,NA,11,14,24.90,3.16,285.29,18.14,623.62,3.51
FEBRERO,4,16,0.0383,0.0060,1.51,NA,18,15,25.87,3.57,274.12,16.78,623.25,2.49
FEBRERO,4,17,0.0359,0.0060,1.51,NA,23,14,25.77,3.38,269.76,15.78,623.14,1.43
FEBRERO,4,18,0.0352,0.0058,1.51,NA,30,11,24.98,3.46,283.84,16.24,623.29,0.54
FEBRERO,4,19,0.0232,0.0060,1.83,NA,44,8,23.04,1.53,293.54,19.01,623.55,0.07
FEBRERO,4,20,NA,0.0070,2.99,NA,91,7,21.30,1.24,281.88,22.71,623.94,0.01
FEBRERO,4,21,NA,0.0079,2.45,NA,128,20,19.73,1.10,261.40,25.60,624.50,0.01
FEBRERO,4,22,NA,0.0082,2.16,NA,112,23,19.07,1.70,170.05,26.98,625.12,0.01
FEBRERO,4,23,0.0198,0.0062,1.72,NA,86,25,16.44,3.78,95.98,39.18,625.88,0.01
FEBRERO,5,0,0.0259,0.0059,1.59,NA,70,11,14.70,4.16,86.60,46.46,626.07,0.01
FEBRERO,5,1,0.0232,0.0059,1.58,NA,32,11,13.26,4.19,78.14,51.77,626.00,0.01
FEBRERO,5,2,0.0241,0.0058,1.57,NA,25,9,11.77,3.87,90.97,56.67,626.05,0.01
FEBRERO,5,3,0.0219,0.0058,1.57,NA,18,6,10.38,4.09,90.62,60.85,625.86,0.01
FEBRERO,5,4,0.0220,0.0058,1.57,NA,18,5,9.01,4.27,86.93,62.27,625.98,0.01
