DATOS HORARIOS 2022_DIF,,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR,UV
ABRIL,1,0,0.020,0.008,1.28,0.026,112,NA,20.437667,1.182548,235.993985,20.711233,620.444167,0.008269
ABRIL,1,1,0.016,0.008,1.44,0.036,141,NA,19.3075,0.740837,216.138383,22.2978,620.424167,0.009182
ABRIL,1,2,0.008,0.009,1.46,0.047,156,NA,18.5876,1.294323,143.078117,24.305233,620.350833,0.008576
ABRIL,1,3,0.001,0.009,1.21,0.046,156,NA,17.49165,1.434542,145.9257,26.699733,620.197833,0.008739
ABRIL,1,4,NA,0.008,1.25,0.043,143,NA,16.839533,1.07355,191.3448,28.37705,620.250167,0.00837
ABRIL,1,5,0.002,0.009,1.53,0.038,145,NA,14.9978,0.933728,197.027,32.369533,620.427,0.009025
ABRIL,1,6,0.002,0.009,1.52,0.038,160,NA,14.7158,0.790888,264.314233,32.92555,620.792833,0.008795
ABRIL,1,7,0.002,0.009,2.01,0.039,179,NA,14.058717,0.744517,183.421433,33.872933,621.185,0.027038
ABRIL,1,8,0.001,0.009,1.96,0.040,175,NA,15.556783,1.797203,98.207,32.581817,621.444833,0.311097
ABRIL,1,9,0.006,0.011,1.65,0.040,179,NA,18.0159,1.937905,93.617867,31.670717,622.0935,1.048235
ABRIL,1,10,0.028,0.011,1.24,0.026,130,NA,21.527833,1.444257,199.534833,26.9763,622.442833,2.17288
ABRIL,1,11,0.046,0.010,1.17,0.019,96,NA,24.374583,1.770228,255.592233,20.752417,622.332833,3.353637
ABRIL,1,12,0.061,0.008,1.05,0.005,82,15,26.174567,2.256477,266.211483,16.5374,622.0085,4.273288
ABRIL,1,13,0.054,0.007,1.00,0.004,39,15,27.868508,3.48867,253.939,9.173377,621.436833,5.298435
ABRIL,1,14,0.054,0.007,0.98,0.004,32,18,29.631386,3.5127,263.388167,5.836473,620.754,5.327405
ABRIL,1,15,0.060,0.007,0.92,0.004,35,58,30.489321,4.844668,278.188667,8.097655,620.127,4.547795
ABRIL,1,16,0.062,0.007,0.92,0.003,45,25,31.175121,4.655423,275.0325,6.063928,619.605333,3.196235
ABRIL,1,17,0.063,0.007,0.90,0.003,54,42,31.053133,5.383213,273.703333,6.306938,619.353667,1.900103
ABRIL,1,18,0.059,0.007,0.89,0.003,51,22,30.554621,5.038872,263.397333,7.232808,619.4435,0.874773
ABRIL,1,19,0.046,0.007,0.96,0.013,73,23,28.308873,3.23844,260.107333,11.477257,620.014,0.165285
ABRIL,1,20,0.029,0.007,1.12,0.028,108,20,25.852383,2.135593,254.845833,13.60305,620.6895,0.009319
ABRIL,1,21,0.029,0.007,1.21,0.028,98,17,24.262288,2.324703,222.452,14.767867,621.478167,0.008946
ABRIL,1,22,0.030,0.007,1.03,0.012,73,14,23.147926,3.287805,221.941333,17.723033,621.969833,0.008414
ABRIL,1,23,0.031,0.007,0.94,0.006,55,13,21.922783,3.057005,244.889167,19.327967,622.4025,0.00837
ABRIL,2,0,0.021,0.007,1.03,0.016,47,11,20.149833,1.563252,285.303333,23.4651,622.664167,0.009075
ABRIL,2,1,0.005,0.007,1.19,0.037,62,21,19.052941,1.00306,196.831317,25.69005,622.620667,0.008742
ABRIL,2,2,0.003,0.007,1.27,0.041,72,21,18.194017,1.141975,229.00919,27.73745,622.492167,0.009788
ABRIL,2,3,NA,0.008,1.19,0.040,85,23,17.109583,1.243683,197.38,29.066317,622.377833,0.008247
ABRIL,2,4,0.003,0.008,1.14,0.036,77,24,16.43795,0.85801,214.4005,30.0002,622.386333,0.009367
ABRIL,2,5,0.010,0.008,1.04,0.028,56,28,16.32193,1.255153,203.515833,30.918033,622.483,0.009117
ABRIL,2,6,0.008,0.008,1.14,0.031,58,22,15.194286,0.858045,191.90043,33.607183,622.748333,0.009782
ABRIL,2,7,0.003,0.009,1.31,0.038,82,32,14.046417,1.212435,130.022717,37.211383,623.291333,0.030256
ABRIL,2,8,0.004,0.011,1.48,0.040,93,32,16.380439,0.966175,109.586267,31.46525,623.658167,0.369217
ABRIL,2,9,0.008,0.014,1.67,0.049,113,37,19.886404,0.96533,119.036633,26.82835,623.922333,1.096412
ABRIL,2,10,0.029,0.011,1.23,0.028,152,49,22.833667,1.406768,225.966933,24.000417,624.158167,2.374123
ABRIL,2,11,0.045,0.008,1.03,0.010,63,32,24.410083,2.151913,265.57535,23.380983,624.032833,3.715588
ABRIL,2,12,0.058,0.007,0.96,0.004,37,28,26.395965,2.389403,263.503733,18.950833,623.703833,4.813887
ABRIL,2,13,0.060,0.007,0.96,0.004,31,20,28.459911,2.795262,264.942,15.2406,623.136333,5.48603
ABRIL,2,14,0.053,0.007,0.92,0.003,24,22,30.097241,2.935722,263.316833,11.775052,622.294,5.48068
ABRIL,2,15,0.045,0.007,0.90,NA,27,21,31.191417,2.92873,240.56935,8.859343,621.565833,4.749808
ABRIL,2,16,0.047,0.007,0.89,NA,7,12,31.874569,2.600078,259.3185,8.578568,620.775333,3.286025
ABRIL,2,17,0.052,0.007,0.91,0.004,25,9,31.813125,2.696605,263.236667,9.513178,620.424333,1.915878
ABRIL,2,18,0.053,0.007,0.92,0.004,40,5,31.678333,2.602568,256.902,9.69269,620.333,0.86077
ABRIL,2,19,0.052,0.007,1.00,0.009,68,8,30.491333,2.254157,246.938667,10.574378,620.435,0.173247
ABRIL,2,20,0.018,0.007,1.49,0.052,93,12,28.586017,1.731117,218.386667,12.251117,620.667667,0.009383
ABRIL,2,21,0.017,0.007,1.49,0.050,123,23,26.799914,1.905805,224.243,14.122483,621.102833,0.008961
ABRIL,2,22,0.021,0.008,1.43,0.038,140,37,25.305932,1.678575,175.690967,16.199283,621.740667,0.008214
ABRIL,2,23,0.023,0.007,1.13,0.022,104,27,23.797946,1.962132,225.192667,17.098667,622.313,0.009003
ABRIL,3,0,0.020,0.007,1.08,0.019,62,16,22.017667,2.143875,275.965333,20.851017,622.614833,0.008395
ABRIL,3,1,0.017,0.007,1.11,0.025,67,18,20.173833,2.09473,258.675333,26.742617,622.542167,0.008086
ABRIL,3,2,0.024,0.008,1.08,0.013,68,26,19.753456,1.778785,127.719983,28.748,622.513333,0.008266
ABRIL,3,3,0.023,0.007,1.04,0.009,64,24,19.012,1.585078,207.258833,31.042217,622.2365,0.009176
ABRIL,3,4,0.022,0.007,1.01,0.008,53,22,17.815877,1.006262,248.817667,35.25115,622.079833,0.008754
ABRIL,3,5,0.022,0.007,1.01,0.008,57,24,17.3335,1.417348,224.476167,38.290567,622.0075,0.00905
ABRIL,3,6,0.018,0.007,0.99,0.009,59,19,15.779545,0.747935,256.798872,43.145683,622.191167,0.008456
