DATOS HORARIOS 2022_DIF,,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR,UV
OCTUBRE,3,6,NA,0.030,0.98,0.009,NA,NA,14.96,3.37,79.22,63.43,624.54,NA
OCTUBRE,3,7,NA,0.024,1.10,0.012,NA,NA,14.66,3.06,82.70,65.70,624.86,NA
OCTUBRE,3,8,NA,0.020,1.21,0.015,NA,NA,14.99,2.67,87.52,65.21,625.21,0.29
OCTUBRE,3,9,NA,0.032,1.03,0.008,NA,NA,16.94,4.04,70.40,58.59,625.48,1.01
OCTUBRE,3,10,NA,0.033,1.08,0.009,NA,NA,17.89,4.38,84.45,56.65,625.67,1.51
OCTUBRE,3,11,NA,0.038,1.08,0.009,NA,NA,19.74,4.01,85.29,52.18,625.44,3.10
OCTUBRE,3,12,NA,0.045,1.07,0.009,NA,NA,22.16,3.42,89.71,45.00,625.02,4.03
OCTUBRE,3,13,NA,0.052,1.04,0.008,NA,NA,23.75,2.49,109.02,41.38,624.22,4.51
OCTUBRE,3,14,NA,0.058,0.90,0.007,NA,NA,25.66,2.06,202.62,37.87,623.40,4.33
OCTUBRE,3,15,NA,0.060,0.89,0.006,NA,NA,26.79,2.19,204.34,35.09,622.64,3.74
OCTUBRE,3,16,NA,0.070,1.03,0.007,48,NA,26.71,1.88,209.95,34.44,622.13,2.11
OCTUBRE,3,17,NA,0.074,1.13,0.008,44,NA,25.88,2.00,208.85,35.58,621.82,0.69
OCTUBRE,3,18,NA,0.069,0.90,0.007,51,NA,25.21,1.89,277.56,36.59,621.94,NA
OCTUBRE,3,19,NA,0.049,0.95,0.012,52,NA,23.99,2.96,247.49,42.16,622.33,NA
OCTUBRE,3,20,NA,0.042,0.87,0.007,60,NA,20.90,3.54,249.26,59.49,623.05,NA
OCTUBRE,3,21,NA,0.036,0.82,0.006,30,NA,19.75,3.37,261.64,69.75,623.99,NA
OCTUBRE,3,22,NA,0.028,0.80,0.006,31,NA,18.27,3.11,274.77,83.81,624.88,NA
OCTUBRE,3,23,NA,0.026,0.77,0.006,26,NA,17.84,2.55,196.90,83.54,625.21,NA
OCTUBRE,4,0,NA,0.028,0.75,0.006,25,NA,15.75,2.49,94.67,91.65,625.27,NA
OCTUBRE,4,1,NA,0.027,0.76,0.005,25,NA,15.91,3.41,78.80,91.34,624.81,NA
OCTUBRE,4,2,NA,0.028,0.73,0.006,23,NA,15.68,2.94,81.79,88.12,624.22,NA
OCTUBRE,4,3,NA,0.022,0.76,0.007,23,NA,15.61,2.63,92.23,89.58,623.86,NA
OCTUBRE,4,4,NA,0.018,0.77,0.009,29,NA,15.61,2.32,82.43,88.37,623.64,NA
OCTUBRE,4,5,NA,0.016,0.84,0.009,28,NA,15.51,2.32,83.36,88.97,623.46,NA
OCTUBRE,4,6,NA,0.016,1.18,0.014,26,NA,15.53,2.06,89.44,86.64,623.63,NA
OCTUBRE,4,7,NA,0.013,1.36,0.016,21,NA,15.40,1.97,95.12,84.84,623.98,NA
OCTUBRE,4,8,NA,0.013,1.49,0.016,45,NA,16.01,2.02,103.89,81.07,624.43,NA
OCTUBRE,4,9,NA,0.018,1.10,0.011,45,NA,17.53,3.15,89.25,74.02,624.63,NA
OCTUBRE,4,10,NA,0.027,0.97,0.008,41,NA,19.07,4.24,85.24,65.80,624.87,NA
OCTUBRE,4,11,NA,0.032,1.03,0.009,39,NA,20.57,3.49,100.43,62.20,624.85,NA
OCTUBRE,4,12,NA,0.044,0.98,0.009,37,NA,22.72,2.35,114.24,55.46,624.45,0.82
OCTUBRE,4,13,NA,0.051,0.99,0.009,38,NA,24.20,1.60,184.94,50.50,623.74,0.46
OCTUBRE,4,14,NA,0.060,0.87,0.007,47,NA,25.26,1.49,211.25,45.87,622.89,0.48
OCTUBRE,4,15,NA,0.066,0.87,0.007,46,NA,26.44,1.86,229.25,41.51,622.14,0.77
OCTUBRE,4,16,NA,0.060,0.80,0.006,41,NA,27.21,1.83,208.85,38.08,621.53,NA
OCTUBRE,4,17,NA,0.057,0.76,0.005,33,NA,26.52,1.89,213.54,38.19,621.36,NA
OCTUBRE,4,18,NA,0.046,1.02,0.012,25,NA,25.63,2.73,146.33,43.37,621.46,NA
OCTUBRE,4,19,NA,0.020,1.08,0.011,35,NA,21.66,3.55,158.61,63.18,621.92,NA
OCTUBRE,4,20,NA,0.017,1.01,0.011,33,NA,20.70,2.58,188.02,65.59,622.49,NA
OCTUBRE,4,21,NA,0.026,0.78,0.005,26,NA,19.25,2.76,226.38,72.37,623.44,NA
