DATOS HORARIOS 2022_DIF,,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR,UV
JUN,1,0,0.025,0.035,1.66,NA,60.718983,NA,23.993333,2.718982,54.20655,40.344167,621.654667,0.008808
JUN,1,1,0.024,0.043,1.65,NA,38.026167,NA,23.271667,3.504747,59.643667,44.436433,621.516,0.008462
JUN,1,2,0.024,0.015,1.59,NA,46.5962,NA,21.768333,2.792232,109.944733,49.303317,621.4325,0.008369
JUN,1,3,0.023,0.016,1.60,NA,44.710517,NA,21.003333,2.176445,110.6762,52.362067,621.2085,0.009024
JUN,1,4,0.020,0.016,1.59,NA,50.829217,NA,20.205,2.814552,138.208917,56.123083,621.2565,0.007368
JUN,1,5,0.019,0.011,1.67,NA,54.603817,NA,19.988517,2.621617,106.8112,56.804967,621.559,0.008389
JUN,1,6,0.014,0.010,1.96,NA,117.735783,NA,19.28487,2.109127,85.700417,58.15015,621.807333,0.00885
JUN,1,7,0.012,0.014,2.00,NA,97.38475,NA,19.907365,3.120753,67.18215,61.48245,622.0065,0.1216
JUN,1,8,0.013,0.012,2.06,NA,70.118733,NA,20.529725,3.498765,88.104267,58.578233,622.3405,0.611375
JUN,1,9,0.022,0.012,1.90,NA,86.1605,NA,21.980212,3.677553,91.430517,54.402567,622.403,1.398167
JUN,1,10,0.030,0.010,1.86,NA,55.595933,NA,23.884717,3.287015,88.271783,46.5376,622.1915,2.34711
JUN,1,11,0.037,0.009,1.81,NA,50.129967,NA,25.415655,3.153707,97.72615,39.6207,621.951833,3.895785
JUN,1,12,0.040,0.011,1.86,NA,39.564133,NA,27.26934,2.92341,114.357283,33.909183,621.541833,4.739822
JUN,1,13,0.044,0.013,1.78,NA,38.4589,NA,28.766933,2.876355,140.973067,26.810017,620.908833,5.376253
JUN,1,14,0.048,0.010,1.75,NA,27.8358,NA,29.9031,2.794707,153.962483,24.528067,620.216833,4.835875
JUN,1,15,0.048,0.025,1.75,NA,30.471667,NA,31.569648,2.068962,167.590017,20.62555,619.433,3.445105
JUN,1,16,0.048,0.019,1.76,NA,30.95185,NA,32.135983,2.620597,197.7536,18.74375,618.707833,3.061037
JUN,1,17,0.043,0.017,1.84,NA,48.830528,NA,31.570963,4.22027,100.190317,20.3463,618.196833,1.672715
JUN,1,18,0.039,0.010,1.91,NA,157.498867,NA,29.329052,5.582035,101.564167,22.7688,618.087333,0.913993
JUN,1,19,0.034,0.010,1.97,NA,58.4109,NA,30.102188,3.901175,89.962383,21.981517,618.057167,0.339925
