DATOS MÓVILES 2019_NATIVITAS,,,,,,
,,,,,,
,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,MPM10
ENE,7,6,11.12,4.02,0.495,42
ENE,7,7,NA,3.99,0.522,42
ENE,7,8,NA,3.89,0.536,42
ENE,7,9,NA,3.39,0.568,43
ENE,7,10,NA,3.02,0.582,43
ENE,7,11,NA,2.94,0.580,42
ENE,7,12,NA,4.08,0.568,43
ENE,7,13,NA,5.12,0.563,44
ENE,7,14,NA,6.04,0.539,44
ENE,7,15,36.21,6.47,0.497,44
ENE,7,16,36.89,6.98,0.449,44
ENE,7,17,35.01,7.20,0.379,43
ENE,7,18,35.88,7.49,0.344,43
ENE,7,19,34.68,8.00,0.342,43
ENE,7,20,32.66,8.72,0.334,42
ENE,7,21,29.96,9.24,0.320,40
ENE,7,22,26.88,9.44,0.302,37
ENE,7,23,24.26,9.96,0.292,35
ENE,8,0,21.72,12.02,0.286,34
ENE,8,1,21.64,12.32,0.274,33
ENE,8,2,21.86,12.36,0.267,32
ENE,8,3,21.70,12.43,0.241,31
ENE,8,4,21.09,12.43,0.227,30
ENE,8,5,18.71,12.74,0.215,29
ENE,8,6,16.55,12.88,0.217,28
ENE,8,7,12.70,12.98,0.233,26
ENE,8,8,10.36,13.43,0.255,26
ENE,8,9,8.50,13.87,0.282,24
ENE,8,10,7.63,14.37,0.306,23
ENE,8,11,9.35,14.89,0.318,23
ENE,8,12,11.93,14.12,0.324,22
ENE,8,13,16.46,13.63,0.327,21
ENE,8,14,19.88,13.05,0.318,21
ENE,8,15,23.99,12.78,0.292,20
ENE,8,16,28.44,NA,0.258,19
ENE,8,17,32.22,NA,0.231,19
ENE,8,18,35.25,NA,0.207,19
ENE,8,19,33.21,NA,0.332,19
ENE,8,20,30.17,NA,0.347,20
ENE,8,21,27.12,NA,0.358,20
ENE,8,22,22.97,NA,0.378,20
ENE,8,23,18.83,NA,0.383,21
ENE,9,0,14.68,NA,0.384,21
ENE,9,1,10.37,NA,0.384,21
ENE,9,2,6.30,NA,0.384,21
ENE,9,3,5.60,NA,0.247,21
ENE,9,4,5.15,NA,0.226,22
ENE,9,5,4.37,NA,0.210,22
ENE,9,6,4.85,NA,0.190,22
ENE,9,7,5.12,NA,0.191,22
ENE,9,8,6.11,NA,0.209,22
ENE,9,9,7.44,15.67,0.224,22
ENE,9,10,9.46,17.57,0.233,23
ENE,9,11,11.65,20.56,0.242,24
ENE,9,12,14.29,21.70,0.252,26
ENE,9,13,17.39,21.55,0.261,26
ENE,9,14,20.91,20.72,0.270,26
ENE,9,15,24.71,20.72,0.273,26
ENE,9,16,27.43,20.72,0.261,27
ENE,9,17,30.08,21.70,0.252,27
ENE,9,18,31.03,21.70,0.253,27
ENE,9,19,30.93,22.76,0.266,26
ENE,9,20,30.21,22.35,0.265,26
ENE,9,21,28.95,20.99,0.260,26
ENE,9,22,27.30,21.25,0.251,26
ENE,9,23,25.20,20.05,0.237,25
ENE,10,0,23.01,20.02,0.232,24
ENE,10,1,21.17,20.93,0.226,24
ENE,10,2,19.71,22.12,0.216,25
ENE,10,3,19.05,22.80,0.195,24
ENE,10,4,18.41,23.05,0.186,24
ENE,10,5,17.42,23.12,0.182,24
ENE,10,6,15.51,23.19,0.182,24
ENE,10,7,14.28,22.07,0.194,24
