DATOS MÓVILES 2019_NATIVITAS,,,,,,
,,,,,,
,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,MPM10
OCT,1,0,10.42,2.15,0.754,13
OCT,1,1,8.72,2.12,0.764,12
OCT,1,2,6.93,2.07,0.769,11
OCT,1,3,6.00,2.02,0.758,11
OCT,1,4,5.97,1.95,0.726,11
OCT,1,5,6.45,1.90,0.696,10
OCT,1,6,6.56,1.85,0.695,10
OCT,1,7,5.84,1.79,0.718,10
OCT,1,8,5.23,1.72,0.747,10
OCT,1,9,5.09,1.66,0.777,10
OCT,1,10,6.23,1.59,0.794,10
OCT,1,11,7.72,1.56,0.806,10
OCT,1,12,9.95,1.58,0.761,11
OCT,1,13,12.73,1.68,0.723,11
OCT,1,14,16.72,1.70,0.655,12
OCT,1,15,21.06,1.73,0.575,12
OCT,1,16,25.40,1.90,0.486,13
OCT,1,17,28.98,2.21,0.397,13
OCT,1,18,31.56,2.28,0.326,14
OCT,1,19,32.95,2.35,0.272,14
OCT,1,20,32.62,2.47,0.275,15
OCT,1,21,29.55,2.54,0.275,15
OCT,1,22,26.72,2.57,0.284,16
OCT,1,23,24.05,2.58,0.295,16
OCT,2,0,21.40,2.63,0.295,16
OCT,2,1,19.64,2.63,0.294,17
OCT,2,2,17.70,2.62,0.287,17
OCT,2,3,15.85,2.60,0.268,17
OCT,2,4,14.51,2.60,0.251,18
OCT,2,5,15.06,2.60,0.234,18
OCT,2,6,13.69,2.60,0.239,18
OCT,2,7,12.03,2.62,0.256,19
OCT,2,8,10.45,2.60,0.290,19
OCT,2,9,8.67,2.57,0.322,19
OCT,2,10,8.36,2.57,0.341,19
OCT,2,11,9.61,2.53,0.357,19
OCT,2,12,12.32,2.45,0.364,19
OCT,2,13,16.04,2.33,0.375,18
OCT,2,14,21.08,2.49,0.361,19
OCT,2,15,26.50,2.70,0.331,19
OCT,2,16,31.88,2.61,0.295,19
OCT,2,17,36.42,2.49,0.267,19
OCT,2,18,37.68,2.66,0.264,19
OCT,2,19,37.21,2.63,0.264,18
OCT,2,20,35.64,2.52,0.259,18
OCT,2,21,33.37,2.76,0.251,17
OCT,2,22,31.39,2.81,0.255,17
OCT,2,23,28.99,2.79,0.258,17
OCT,3,0,25.21,2.75,0.265,17
OCT,3,1,21.03,2.74,0.265,17
OCT,3,2,18.87,2.89,0.250,17
OCT,3,3,17.56,3.04,0.234,17
OCT,3,4,16.35,3.47,0.226,17
OCT,3,5,14.42,3.55,0.222,17
OCT,3,6,11.26,3.58,0.224,17
OCT,3,7,8.23,3.60,0.247,18
OCT,3,8,6.54,3.63,0.268,18
OCT,3,9,5.95,4.03,0.288,18
OCT,3,10,6.63,4.40,0.298,19
OCT,3,11,7.63,4.59,0.305,18
OCT,3,12,8.84,4.72,0.315,18
OCT,3,13,10.91,5.18,0.327,18
OCT,3,14,13.56,5.49,0.330,17
OCT,3,15,15.94,6.68,0.306,18
OCT,3,16,18.86,7.14,0.275,18
OCT,3,17,21.27,7.24,0.255,18
OCT,3,18,22.07,7.19,0.258,18
OCT,3,19,21.63,7.28,0.283,18
OCT,3,20,20.28,7.51,0.301,18
OCT,3,21,18.69,7.82,0.299,19
OCT,3,22,16.99,7.97,0.291,19
OCT,3,23,15.86,8.09,0.286,19
OCT,4,0,14.28,8.18,0.288,19
OCT,4,1,12.69,8.23,0.287,19
OCT,4,2,11.46,8.13,0.273,19
OCT,4,3,11.11,8.71,0.240,20
OCT,4,4,11.62,8.39,0.213,20
OCT,4,5,11.31,8.68,0.203,20
OCT,4,6,10.94,8.79,0.210,21
OCT,4,7,9.69,8.85,0.238,21
OCT,4,8,8.75,8.81,0.258,21
OCT,4,9,8.76,8.56,0.282,21
OCT,4,10,10.20,8.50,0.297,21
OCT,4,11,12.09,8.55,0.308,21
OCT,4,12,14.17,8.58,0.317,21
OCT,4,13,17.29,8.17,0.320,21
OCT,4,14,20.53,7.80,0.318,21
OCT,4,15,24.47,6.73,0.290,21
OCT,4,16,27.91,6.97,0.274,20
OCT,4,17,30.35,7.02,0.252,21
OCT,4,18,31.28,7.06,0.251,20
OCT,4,19,30.58,6.98,0.284,21
OCT,4,20,28.30,6.77,0.340,21
OCT,4,21,26.29,6.90,0.350,22
OCT,4,22,24.13,7.58,0.353,22
OCT,4,23,22.09,7.69,0.353,22
OCT,5,0,19.95,7.69,0.354,22
OCT,5,1,17.98,7.66,0.352,22
OCT,5,2,15.90,7.66,0.339,21
OCT,5,3,15.28,8.03,0.296,21
OCT,5,4,16.11,9.71,0.230,21
OCT,5,5,15.97,10.45,0.213,21
OCT,5,6,14.58,10.44,0.204,20
OCT,5,7,12.70,10.42,0.211,20
OCT,5,8,10.99,10.55,0.227,20
OCT,5,9,10.13,10.45,0.246,20
OCT,5,10,10.73,10.15,0.255,19
OCT,5,11,11.64,9.91,0.260,19
OCT,5,12,12.56,10.00,0.263,19
OCT,5,13,14.21,10.50,0.271,19
OCT,5,14,17.61,10.62,0.272,19
OCT,5,15,21.22,10.33,0.261,19
OCT,5,16,24.87,9.84,0.245,19
OCT,5,17,27.35,9.76,0.226,19
OCT,5,18,28.30,10.04,0.229,19
OCT,5,19,27.84,10.45,0.245,18
OCT,5,20,26.51,11.34,0.262,18
OCT,5,21,25.18,10.81,0.266,17
OCT,5,22,22.97,10.02,0.273,17
OCT,5,23,20.99,10.12,0.276,17
OCT,6,0,18.75,10.22,0.274,17
OCT,6,1,16.62,10.44,0.277,17
OCT,6,2,14.96,10.45,0.266,17
OCT,6,3,13.73,9.44,0.248,17
OCT,6,4,13.16,7.86,0.231,17
OCT,6,5,11.55,6.79,0.226,17
OCT,6,6,10.03,6.66,0.233,17
OCT,6,7,9.06,7.08,0.246,17
OCT,6,8,8.09,7.02,0.262,17
OCT,6,9,7.98,7.03,0.272,16
OCT,6,10,8.69,7.11,0.284,17
OCT,6,11,10.36,7.48,0.293,16
OCT,6,12,12.55,7.27,0.297,16
OCT,6,13,15.60,6.89,0.295,16
OCT,6,14,19.25,6.77,0.276,16
OCT,6,15,22.01,7.14,0.261,16
OCT,6,16,25.13,7.01,0.243,15
OCT,6,17,27.93,6.87,0.228,15
OCT,6,18,29.48,6.99,0.212,15
OCT,6,19,29.46,6.95,0.222,15
OCT,6,20,28.84,7.19,0.224,15
OCT,6,21,28.29,7.41,0.226,16
OCT,6,22,26.83,7.44,0.234,15
OCT,6,23,25.52,7.33,0.234,15
OCT,7,0,23.64,7.68,0.233,16
OCT,7,1,21.51,7.59,0.234,16
OCT,7,2,19.63,7.74,0.236,16
OCT,7,3,18.70,7.81,0.218,16
OCT,7,4,18.01,7.65,0.211,16
OCT,7,5,16.70,7.66,0.211,16
OCT,7,6,14.50,7.73,0.232,16
OCT,7,7,12.39,7.33,0.281,17
OCT,7,8,10.71,7.32,0.317,18
OCT,7,9,9.15,7.35,0.344,18
OCT,7,10,8.76,7.54,0.359,19
OCT,7,11,8.72,7.36,0.371,19
OCT,7,12,9.00,7.49,0.385,19
OCT,7,13,9.88,7.44,0.395,20
OCT,7,14,12.34,7.39,0.373,20
OCT,7,15,14.69,7.12,0.330,20
OCT,7,16,16.85,7.18,0.298,21
OCT,7,17,18.70,7.40,0.282,21
OCT,7,18,19.17,6.98,0.279,21
OCT,7,19,18.94,7.15,0.279,22
OCT,7,20,17.97,6.16,0.276,22
OCT,7,21,16.96,6.31,0.266,21
OCT,7,22,15.88,6.36,0.264,22
OCT,7,23,14.83,6.70,0.257,22
OCT,8,0,13.69,6.18,0.251,21
OCT,8,1,12.97,6.06,0.240,20
OCT,8,2,12.63,5.87,0.226,20
OCT,8,3,11.91,5.74,0.210,20
OCT,8,4,11.05,5.74,0.197,20
OCT,8,5,10.21,5.72,0.191,19
OCT,8,6,8.84,5.71,0.197,19
OCT,8,7,7.53,5.66,0.216,18
OCT,8,8,6.79,5.65,0.233,18
OCT,8,9,6.98,5.61,0.251,18
OCT,8,10,7.90,5.39,0.255,17
OCT,8,11,9.87,5.34,0.262,16
OCT,8,12,12.38,5.25,0.268,17
OCT,8,13,14.86,5.16,0.274,16
OCT,8,14,17.87,5.09,0.269,16
OCT,8,15,20.97,4.92,0.249,16
