DATOS MÓVILES 2019_NATIVITAS,,,,,,
,,,,,,
,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,MPM10
FEB,1,0,16.35,4.60,NA,29
FEB,1,1,13.73,4.55,NA,29
FEB,1,2,10.65,4.33,NA,28
FEB,1,3,NA,4.20,NA,27
FEB,1,4,NA,4.13,NA,27
FEB,1,5,NA,4.08,NA,27
FEB,1,6,NA,4.11,NA,27
FEB,1,7,NA,4.11,NA,28
FEB,1,8,NA,4.00,NA,28
FEB,1,9,NA,4.03,NA,28
FEB,1,10,NA,3.92,NA,28
FEB,1,11,NA,3.80,NA,29
FEB,1,12,NA,3.67,NA,29
FEB,1,13,NA,3.58,NA,29
FEB,1,14,18.83,3.63,NA,29
FEB,1,15,20.29,3.74,NA,29
FEB,1,16,22.15,3.74,NA,29
FEB,1,17,26.12,3.87,NA,28
FEB,1,18,29.40,4.02,NA,28
FEB,1,19,30.16,4.18,NA,28
FEB,1,20,27.07,4.17,NA,28
FEB,1,21,22.92,4.16,NA,29
FEB,1,22,19.21,4.13,NA,29
FEB,1,23,16.55,4.06,NA,29
FEB,2,0,12.68,4.01,NA,29
FEB,2,1,9.82,4.17,NA,31
FEB,2,2,6.77,4.26,NA,32
FEB,2,3,4.88,4.37,NA,32
FEB,2,4,9.45,4.63,NA,33
FEB,2,5,13.36,4.96,NA,34
FEB,2,6,15.80,5.19,NA,35
FEB,2,7,16.12,5.19,NA,35
FEB,2,8,NA,5.37,NA,35
FEB,2,9,NA,5.62,NA,34
FEB,2,10,17.60,5.51,NA,35
FEB,2,11,17.93,5.49,NA,34
FEB,2,12,17.66,5.57,NA,33
FEB,2,13,18.99,5.57,NA,33
FEB,2,14,21.30,5.57,NA,33
FEB,2,15,24.95,5.57,NA,33
FEB,2,16,26.54,5.57,NA,32
FEB,2,17,29.98,5.57,NA,32
FEB,2,18,33.58,5.57,NA,32
FEB,2,19,34.91,5.57,NA,32
FEB,2,20,32.34,5.56,NA,33
FEB,2,21,28.52,5.55,NA,32
FEB,2,22,24.92,5.56,NA,32
FEB,2,23,20.96,5.57,NA,33
FEB,3,0,17.35,5.54,NA,33
FEB,3,1,13.90,5.30,NA,32
FEB,3,2,9.75,5.04,NA,31
FEB,3,3,NA,4.73,NA,32
FEB,3,4,NA,4.39,NA,32
FEB,3,5,NA,4.07,NA,31
FEB,3,6,NA,3.99,NA,31
FEB,3,7,NA,5.45,NA,31
FEB,3,8,NA,5.44,NA,31
FEB,3,9,NA,4.84,NA,30
FEB,3,10,NA,4.87,NA,30
FEB,3,11,NA,4.77,NA,30
FEB,3,12,NA,NA,NA,30
FEB,3,13,NA,NA,NA,30
FEB,3,14,26.13,NA,NA,30
FEB,3,15,28.67,NA,NA,30
FEB,3,16,30.30,NA,NA,31
FEB,3,17,34.77,NA,NA,31
FEB,3,18,37.49,NA,NA,31
FEB,3,19,37.90,NA,NA,31
FEB,3,20,34.93,NA,NA,31
FEB,3,21,30.46,NA,NA,30
FEB,3,22,25.26,NA,NA,29
FEB,3,23,20.59,NA,NA,29
FEB,4,0,16.57,NA,NA,28
FEB,4,1,12.18,NA,NA,27
FEB,4,2,9.11,NA,NA,27
FEB,4,3,6.21,NA,NA,26
FEB,4,4,NA,NA,NA,26
FEB,4,5,NA,NA,NA,26
FEB,4,6,NA,NA,NA,26
FEB,4,7,NA,NA,NA,25
FEB,4,8,NA,NA,NA,25
FEB,4,9,NA,NA,NA,24
FEB,4,10,NA,NA,NA,24
FEB,4,11,NA,NA,NA,25
FEB,4,12,NA,NA,NA,25
FEB,4,13,NA,NA,NA,26
FEB,4,14,23.46,NA,NA,26
FEB,4,15,26.29,NA,NA,26
FEB,4,16,28.16,NA,NA,25
FEB,4,17,33.18,NA,NA,25
FEB,4,18,37.75,4.53,NA,26
FEB,4,19,39.90,4.37,NA,26
FEB,4,20,37.26,4.27,NA,26
FEB,4,21,34.44,4.33,NA,27
FEB,4,22,30.42,4.45,NA,30
FEB,4,23,25.34,4.54,NA,30
FEB,5,0,21.36,4.57,NA,31
FEB,5,1,19.18,4.75,NA,32
FEB,5,2,15.71,4.92,NA,33
FEB,5,3,12.10,4.98,NA,34
FEB,5,4,14.33,5.09,NA,35
FEB,5,5,12.60,5.19,NA,35
FEB,5,6,14.63,5.36,NA,36
