DATOS MÓVILES 2019_NATIVITAS,,,,,,
,,,,,,
,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,MPM10
MZO,1,0,32.32,NA,0.307,30
MZO,1,1,26.76,NA,0.336,30
MZO,1,2,22.00,NA,0.345,29
MZO,1,3,18.59,NA,0.346,29
MZO,1,4,16.86,NA,0.324,29
MZO,1,5,14.29,NA,0.319,29
MZO,1,6,13.46,NA,0.314,29
MZO,1,7,NA,NA,0.308,28
MZO,1,8,11.68,NA,0.349,27
MZO,1,9,10.32,NA,0.368,27
MZO,1,10,9.75,NA,0.395,28
MZO,1,11,10.92,NA,0.408,28
MZO,1,12,14.23,NA,0.421,28
MZO,1,13,20.55,NA,0.424,29
MZO,1,14,23.64,NA,0.415,30
MZO,1,15,24.51,NA,0.381,30
MZO,1,16,28.25,NA,0.324,29
MZO,1,17,32.22,NA,0.280,28
MZO,1,18,35.03,4.59,0.245,28
MZO,1,19,36.03,4.41,0.237,27
MZO,1,20,33.03,4.24,0.278,27
MZO,1,21,28.49,4.11,0.329,28
MZO,1,22,24.53,3.97,0.362,29
MZO,1,23,21.19,3.87,0.399,29
MZO,2,0,18.30,3.75,0.416,29
MZO,2,1,14.48,3.93,0.436,28
MZO,2,2,11.67,4.10,0.452,29
MZO,2,3,8.12,4.20,0.451,29
MZO,2,4,7.33,4.23,0.410,30
MZO,2,5,6.62,4.26,0.368,30
MZO,2,6,5.41,4.47,0.350,30
MZO,2,7,5.67,4.73,0.347,30
MZO,2,8,NA,4.56,0.393,31
MZO,2,9,NA,4.71,0.465,31
MZO,2,10,5.58,4.71,0.500,31
MZO,2,11,8.57,4.53,0.522,31
MZO,2,12,13.55,4.49,0.521,31
MZO,2,13,19.17,4.41,0.511,31
MZO,2,14,25.84,4.39,0.495,30
MZO,2,15,28.21,4.40,0.462,30
MZO,2,16,29.83,4.43,0.399,30
MZO,2,17,33.25,4.57,0.306,30
MZO,2,18,37.12,4.62,0.255,30
MZO,2,19,38.97,4.70,0.229,30
MZO,2,20,37.67,4.81,0.276,30
MZO,2,21,34.92,4.93,0.334,29
MZO,2,22,31.56,5.06,0.390,30
MZO,2,23,27.50,5.17,0.457,30
MZO,3,0,23.55,5.30,0.513,30
MZO,3,1,21.30,5.19,0.547,31
MZO,3,2,18.08,5.05,0.571,31
MZO,3,3,14.98,5.01,0.585,30
MZO,3,4,13.14,5.03,0.543,30
MZO,3,5,12.03,4.88,0.497,30
MZO,3,6,11.11,4.60,0.457,30
MZO,3,7,10.51,4.17,0.442,29
MZO,3,8,9.74,3.94,0.480,28
MZO,3,9,9.68,3.65,0.495,28
MZO,3,10,10.16,3.41,0.515,27
MZO,3,11,12.05,3.34,0.506,26
MZO,3,12,14.73,3.31,0.495,27
MZO,3,13,18.75,3.28,0.479,27
MZO,3,14,23.24,3.25,0.461,26
MZO,3,15,28.10,3.21,0.411,26
MZO,3,16,33.65,3.19,0.324,26
MZO,3,17,38.50,3.11,0.282,26
MZO,3,18,42.27,3.09,0.238,26
MZO,3,19,43.71,3.10,0.238,26
MZO,3,20,43.54,3.08,0.246,27
MZO,3,21,41.71,3.08,0.284,26
MZO,3,22,39.47,3.08,0.328,27
MZO,3,23,35.10,3.14,0.425,26
MZO,4,0,29.36,3.24,0.461,27
MZO,4,1,23.98,3.43,0.474,27
MZO,4,2,18.07,3.70,0.492,27
MZO,4,3,13.13,4.37,0.500,28
MZO,4,4,9.41,4.75,0.497,28
MZO,4,5,7.18,5.24,0.469,29
MZO,4,6,3.79,5.55,0.434,30
MZO,4,7,2.79,5.67,0.359,30
MZO,4,8,2.92,6.05,0.370,31
MZO,4,9,3.58,6.27,0.395,31
MZO,4,10,6.61,6.27,0.410,32
MZO,4,11,11.07,6.34,0.418,33
MZO,4,12,17.66,6.36,0.415,36
MZO,4,13,21.99,6.40,0.414,43
MZO,4,14,27.80,6.44,0.406,45
MZO,4,15,34.36,6.47,0.384,46
MZO,4,16,36.31,6.48,0.339,46
MZO,4,17,41.04,6.47,0.296,46
MZO,4,18,44.25,6.44,0.262,46
MZO,4,19,45.88,6.36,0.247,46
MZO,4,20,44.22,6.29,0.253,47
MZO,4,21,41.09,6.17,0.257,47
MZO,4,22,38.87,6.08,0.267,46
MZO,4,23,35.19,5.94,0.283,47
MZO,5,0,30.25,5.81,0.311,46
MZO,5,1,26.16,5.60,0.326,45
MZO,5,2,22.20,5.36,0.334,45
MZO,5,3,19.77,4.67,0.328,45
MZO,5,4,18.26,4.25,0.313,44
MZO,5,5,17.49,3.72,0.299,44
MZO,5,6,15.56,3.38,0.298,42
MZO,5,7,13.50,3.31,0.312,42
MZO,5,8,12.45,3.03,0.353,42
MZO,5,9,10.74,2.86,0.391,42
MZO,5,10,9.90,3.08,0.416,42
MZO,5,11,10.76,6.94,0.472,43
MZO,5,12,14.15,8.25,0.527,40
MZO,5,13,18.50,8.64,0.552,35
MZO,5,14,23.29,8.66,0.553,34
MZO,5,15,28.36,8.65,0.523,33
MZO,5,16,33.42,8.66,0.446,33
MZO,5,17,37.99,8.69,0.393,33
MZO,5,18,41.66,8.71,0.364,33
MZO,5,19,42.05,8.72,0.329,33
MZO,5,20,39.19,8.74,0.345,32
MZO,5,21,33.81,8.83,0.368,33
MZO,5,22,29.57,8.88,0.357,34
MZO,5,23,25.58,8.88,0.354,34
MZO,6,0,21.87,8.83,0.354,34
MZO,6,1,18.49,8.79,0.354,34
MZO,6,2,14.95,8.74,0.349,33
MZO,6,3,11.85,8.72,0.324,32
MZO,6,4,10.07,8.69,0.248,32
MZO,6,5,10.27,8.65,0.194,31
MZO,6,6,9.65,8.58,0.186,31
MZO,6,7,9.01,8.45,0.185,30
MZO,6,8,7.93,8.24,0.202,28
MZO,6,9,7.21,8.02,0.216,27
MZO,6,10,7.32,7.65,0.227,26
MZO,6,11,8.50,3.63,0.236,25
MZO,6,12,10.87,2.24,0.241,23
MZO,6,13,14.06,1.93,0.246,22
MZO,6,14,18.68,1.90,0.252,21
MZO,6,15,24.57,1.88,0.255,22
MZO,6,16,30.62,1.86,0.245,23
MZO,6,17,35.52,1.84,0.232,23
MZO,6,18,39.65,1.82,0.225,23
MZO,6,19,42.78,1.84,0.234,23
MZO,6,20,42.02,1.85,0.319,24
MZO,6,21,40.16,1.78,0.335,24
MZO,6,22,36.86,1.71,0.345,23
MZO,6,23,32.94,1.71,0.365,23
MZO,7,0,27.79,1.67,0.363,24
MZO,7,1,23.04,1.73,0.378,24
MZO,7,2,18.56,1.98,0.394,25
MZO,7,3,13.87,2.07,0.383,26
MZO,7,4,12.47,2.19,0.306,27
MZO,7,5,11.05,2.41,0.307,27
MZO,7,6,10.34,2.71,0.321,29
MZO,7,7,8.95,3.01,0.338,32
MZO,7,8,8.49,3.40,0.402,34
MZO,7,9,8.15,3.59,0.441,36
MZO,7,10,9.15,4.16,0.465,37
MZO,7,11,12.45,4.38,0.472,38
MZO,7,12,16.58,4.46,0.476,38
MZO,7,13,21.16,4.37,0.461,38
MZO,7,14,25.55,4.36,0.436,38
MZO,7,15,31.07,4.39,0.397,37
MZO,7,16,37.11,4.46,0.331,37
