DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2022,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],NO2 Horario [ppm]
JUN,3,7,0.014,0.022,0.006,1.20,32.9,0.016
JUN,3,8,0.022,0.022,0.006,1.22,34.8,0.011
JUN,3,9,0.031,0.023,0.006,1.24,40.7,0.010
JUN,3,10,0.040,0.025,0.006,1.25,38.7,0.007
JUN,3,11,0.048,0.028,0.006,1.27,33.9,0.007
JUN,3,12,0.053,0.032,0.006,1.28,49.9,0.006
JUN,3,13,0.057,0.036,0.006,1.28,37.1,0.005
JUN,3,14,0.059,0.041,0.006,1.27,27.5,0.005
JUN,3,15,0.060,0.046,0.006,1.24,32.9,0.004
JUN,3,16,0.061,0.051,0.006,1.22,37.1,0.006
JUN,3,17,0.055,0.054,0.006,1.22,25.6,0.006
JUN,3,18,0.051,0.055,0.005,1.22,25.6,0.007
JUN,3,19,0.043,0.055,0.005,1.24,NA,0.013
JUN,3,20,0.041,0.053,0.005,1.25,NA,0.016
JUN,3,21,0.032,0.050,0.005,1.27,97.2,0.012
JUN,3,22,0.032,0.047,0.005,1.27,67.7,0.007
JUN,3,23,0.033,0.044,0.005,1.27,49.3,0.007
JUN,4,0,0.027,0.039,0.005,1.27,42.1,0.014
JUN,4,1,0.031,0.036,0.004,1.26,48.0,0.008
JUN,4,2,0.035,0.034,0.004,1.24,38.1,0.005
JUN,4,3,0.031,0.033,0.004,1.20,28.1,0.007
JUN,4,4,0.025,0.031,0.004,1.18,24.8,0.007
JUN,4,5,0.014,0.028,0.004,1.17,20.8,0.015
JUN,4,6,0.008,0.025,0.004,1.17,25.6,0.021
JUN,4,7,0.013,0.023,0.004,1.19,33.4,0.019
JUN,4,8,0.014,0.021,0.004,1.21,43.1,0.018
JUN,4,9,0.027,0.021,0.004,1.23,50.2,0.011
JUN,4,10,0.039,0.021,0.004,1.25,46.1,0.009
JUN,4,11,0.049,0.024,0.004,1.27,41.7,0.008
JUN,4,12,0.060,0.028,0.004,1.28,41.0,0.006
JUN,4,13,0.071,0.035,0.004,1.29,39.5,0.007
JUN,4,14,0.075,0.044,0.004,1.30,41.2,0.007
JUN,4,15,0.071,0.051,0.004,1.29,36.0,0.006
JUN,4,16,0.072,0.058,0.004,1.30,38.9,0.009
JUN,4,17,0.054,0.061,0.004,1.32,41.8,0.009
JUN,4,18,0.054,0.063,0.004,1.32,34.6,0.008
JUN,4,19,0.042,0.062,0.004,1.34,41.2,0.011
JUN,4,20,0.040,0.060,0.004,1.37,41.9,0.012
JUN,4,21,0.033,0.055,0.004,1.39,42.5,0.010
JUN,4,22,0.026,0.049,0.004,1.41,25.9,0.011
JUN,4,23,0.023,0.043,0.004,1.43,19.3,0.014
JUN,5,0,0.018,0.036,0.004,1.42,21.2,0.016
JUN,5,1,0.017,0.032,0.004,1.40,26.1,0.014
JUN,5,2,0.012,0.026,0.004,1.42,30.4,0.016
JUN,5,3,0.010,0.022,0.004,1.40,29.7,0.017
JUN,5,4,0.002,0.018,0.003,1.38,31.0,0.024
JUN,5,5,0.001,0.014,0.003,1.36,44.0,0.024
JUN,5,6,0.003,0.011,0.003,1.35,40.2,0.021
JUN,5,7,0.002,0.008,0.003,1.37,34.9,0.022
JUN,5,8,0.008,0.007,0.003,1.38,31.3,0.020
JUN,5,9,0.021,0.007,0.003,1.39,34.3,0.016
JUN,5,10,0.033,0.010,0.003,1.39,25.9,0.018
JUN,5,11,0.053,0.015,0.003,1.41,28.3,0.024
JUN,5,12,0.070,0.024,0.003,1.43,36.0,0.020
JUN,5,13,0.078,0.033,0.003,1.44,41.3,0.012
JUN,5,14,0.083,0.044,0.003,1.44,24.2,0.012
JUN,5,15,0.082,0.053,0.003,1.44,36.6,0.013
JUN,5,16,0.085,0.063,0.003,1.45,32.5,0.011
JUN,5,17,0.061,0.068,0.003,1.43,35.2,0.008
JUN,5,18,0.047,0.070,0.003,1.45,31.8,0.011
JUN,5,19,0.036,0.068,0.003,1.56,54.0,0.015
JUN,5,20,0.028,0.062,0.003,1.58,35.3,0.019
JUN,5,21,0.034,0.057,0.003,1.59,31.4,0.015
JUN,5,22,0.030,0.050,0.003,1.60,29.1,0.017
JUN,5,23,0.022,0.043,0.003,1.59,24.8,0.019
JUN,6,0,0.027,0.036,0.003,1.56,23.0,0.014
JUN,6,1,0.020,0.031,0.003,1.57,23.8,0.017
JUN,6,2,0.015,0.027,0.003,1.52,23.9,0.023
JUN,6,3,0.006,0.023,0.003,1.39,25.2,0.028
JUN,6,4,0.004,0.020,0.003,1.35,30.6,0.028
JUN,6,5,0.001,0.016,0.003,1.33,31.3,0.029
JUN,6,6,0.001,0.012,0.003,1.34,29.8,0.030
JUN,6,7,0.004,0.010,0.003,1.37,36.3,0.031
JUN,6,8,0.012,0.008,0.003,1.41,39.1,0.023
JUN,6,9,0.024,0.008,0.003,1.43,33.5,0.016
JUN,6,10,0.040,0.011,0.003,1.43,30.1,0.011
JUN,6,11,0.053,0.017,0.003,1.43,26.4,0.009
JUN,6,12,0.064,0.025,0.003,1.43,20.2,0.009
JUN,6,13,0.066,0.033,0.003,1.43,23.6,0.009
JUN,6,14,0.082,0.043,0.003,1.41,21.3,0.010
JUN,6,15,0.085,0.053,0.003,1.36,21.7,0.009
JUN,6,16,0.089,0.063,0.003,1.31,22.6,0.008
JUN,6,17,0.088,0.071,0.003,1.30,24.7,0.009
JUN,6,18,0.082,0.076,0.003,1.29,31.4,0.007
JUN,6,19,0.066,0.078,0.003,1.29,38.7,0.010
JUN,6,20,0.042,0.075,0.003,1.29,39.3,0.016
JUN,6,21,0.020,0.069,0.003,1.29,40.9,0.030
JUN,6,22,0.019,0.062,0.003,1.28,40.9,0.026
JUN,6,23,0.021,0.054,0.003,1.27,36.4,0.021
JUN,7,0,0.025,0.046,0.004,1.27,31.0,0.017
JUN,7,1,0.028,0.038,0.004,1.26,33.0,0.019
JUN,7,2,0.043,0.033,0.004,1.26,28.6,0.009
JUN,7,3,0.023,0.028,0.004,1.25,25.2,0.021
JUN,7,4,0.029,0.026,0.004,1.24,26.5,0.015
JUN,7,5,0.023,0.026,0.004,1.23,32.2,0.019
JUN,7,6,0.015,0.026,0.004,1.25,31.9,0.024
JUN,7,7,0.006,0.024,0.004,1.34,40.1,0.037
JUN,7,8,0.022,0.024,0.004,1.40,57.2,0.031
JUN,7,9,0.042,0.025,0.004,1.42,47.1,0.013
JUN,7,10,0.051,0.026,0.004,1.43,35.3,0.011
JUN,7,11,0.067,0.032,0.004,1.45,30.9,0.010
JUN,7,12,0.077,0.038,0.004,1.47,38.2,0.016
JUN,7,13,0.077,0.045,0.004,1.47,40.2,0.010
JUN,7,14,0.072,0.052,0.004,1.44,28.6,0.007
JUN,7,15,0.075,0.060,0.004,1.33,24.6,0.006
JUN,7,16,0.071,0.067,0.004,1.27,22.8,0.007
JUN,7,17,0.058,0.069,0.004,1.27,25.5,0.009
JUN,7,18,0.055,0.069,0.004,1.28,26.8,0.012
JUN,7,19,0.052,0.067,0.005,1.30,25.9,0.012
JUN,7,20,0.044,0.063,0.006,1.34,30.9,0.015
JUN,7,21,0.043,0.059,0.007,1.35,32.5,0.013
JUN,7,22,0.041,0.055,0.007,1.35,36.5,0.017
JUN,7,23,0.042,0.051,0.008,1.36,37.3,0.008
JUN,8,0,0.037,0.046,0.008,1.35,37.3,0.014
JUN,8,1,0.042,0.044,0.008,1.33,37.2,0.008
JUN,8,2,0.041,0.043,0.008,1.35,37.7,0.008
JUN,8,3,0.041,0.041,0.008,1.32,37.9,0.007
JUN,8,4,0.040,0.041,0.008,1.26,35.6,0.008
JUN,8,5,0.038,0.040,0.008,1.24,38.2,0.012
JUN,8,6,0.026,0.038,0.008,1.26,40.6,0.017
JUN,8,7,0.019,0.035,0.009,1.30,42.8,0.024
JUN,8,8,0.028,0.034,0.009,1.33,43.9,0.019
