DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_DIF 2021,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm]
ENE,9,17,0.0236,0.0272,0.0165,40,17,0.0087
ENE,9,18,0.0185,0.0277,0.0166,65,17,0.0077
ENE,9,19,0.0079,0.0257,0.0170,46,17,0.0175
ENE,9,20,0.01,0.0231,0.0173,42,17,0.014
ENE,9,21,0.0046,0.0195,0.0175,34,17,0.0191
ENE,9,22,0.0023,0.0157,0.0177,36,17,0.0195
ENE,9,23,0.0047,0.0124,0.0178,32,NA,0.0159
ENE,10,0,0.0103,0.0102,0.0179,27,NA,0.011
ENE,10,1,0.0047,0.0079,0.0180,26,NA,0.0158
ENE,10,2,0.008,0.0066,0.0181,23,NA,0.0122
ENE,10,3,0.0036,0.0060,0.0182,23,NA,0.0152
ENE,10,4,0.0054,0.0055,0.0184,24,NA,0.0128
ENE,10,5,0.0042,0.0054,0.0185,23,NA,0.0132
ENE,10,6,0.0068,0.0060,0.0186,23,NA,0.01
ENE,10,7,0.0044,0.0059,0.0187,22,NA,0.0116
ENE,10,8,0.0029,0.0050,0.0183,33,NA,0.0128
ENE,10,9,0.0064,0.0052,0.0180,50,NA,0.0132
ENE,10,10,0.0151,0.0061,0.0179,48,NA,0.0096
ENE,10,11,0.0207,0.0082,0.0177,39,NA,0.0072
ENE,10,12,0.0251,0.0107,0.0177,24,NA,0.0055
ENE,10,13,0.0269,0.0135,0.0176,16,NA,0.0049
ENE,10,14,0.0293,0.0164,0.0176,12,NA,0.0046
ENE,10,15,0.0324,0.0199,0.0175,11,NA,0.0038
ENE,10,16,0.0333,0.0237,0.0175,11,NA,0.0043
ENE,10,17,0.0343,0.0271,0.0175,19,NA,0.004
ENE,10,18,0.0328,0.0294,0.0175,17,NA,0.0048
ENE,10,19,0.0245,0.0298,0.0172,30,NA,0.0091
ENE,10,20,0.0139,0.0284,0.0170,56,NA,0.0149
ENE,10,21,0.0067,0.0259,0.0168,50,NA,0.0235
ENE,10,22,0.0058,0.0230,0.0168,54,NA,0.0252
ENE,10,23,0.0079,0.0199,0.0168,58,NA,0.0188
ENE,11,0,0.0039,0.0162,0.0168,52,NA,0.0195
ENE,11,1,0.0033,0.0124,0.0168,55,NA,0.0185
ENE,11,2,0.0021,0.0085,0.0169,59,NA,0.0178
ENE,11,3,0.0024,0.0058,0.0171,51,NA,0.0159
ENE,11,4,0.0025,0.0043,0.0172,47,NA,0.015
ENE,11,5,0.0026,0.0038,0.0173,46,NA,0.015
ENE,11,6,0.0027,0.0034,0.0175,49,NA,0.0165
ENE,11,7,0.0028,0.0028,0.0176,46,NA,0.0161
ENE,11,8,0.003,0.0027,0.0179,51,NA,0.0167
ENE,11,9,0.0039,0.0028,0.0179,69,NA,0.0185
ENE,11,10,0.0091,0.0036,0.0185,72,NA,0.0159
ENE,11,11,0.0171,0.0055,0.0187,68,NA,0.0127
ENE,11,12,0.0239,0.0081,0.0188,53,NA,0.0084
ENE,11,13,0.0291,0.0115,0.0188,28,NA,0.0056
ENE,11,14,0.0339,0.0154,0.0189,16,NA,0.005
ENE,11,15,0.0361,0.0195,0.0189,19,NA,0.0054
ENE,11,16,0.0345,0.0235,0.0189,13,NA,0.0054
