DATOS HORARIOS 2018_DIF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,HR,PBAR,PM2.5
OCT,3,7,6.03,4.47,0.52,13.4,58.97,6.3,2.86,88.67,13.91,83.78,624.44,6.3
OCT,3,8,14.27,12.65,0.59,11.14,63.74,8.55,2.36,77.29,15.15,78.41,624.63,8.55
OCT,3,9,18.36,14.29,0.36,4.81,57.17,16.2,3.88,78.4,17.6,67.95,624.9,16.2
OCT,3,10,23.85,9.38,0.27,2.65,42.85,15.74,4.29,84.03,18.78,62.6,625.12,15.74
OCT,3,11,28.4,3.86,0.25,2.83,37.71,10.03,4.63,81.5,20.34,56.21,624.92,10.03
OCT,3,12,33.92,8.39,0.25,4.23,38.84,9,4.19,75.89,21.73,51.25,624.49,9
OCT,3,13,40.15,4.3,0.43,7.03,44.41,10.58,3.96,90.72,23.52,45.14,623.71,10.58
OCT,3,14,44.96,2.78,0.3,5.77,53.89,13.68,3.96,94.1,24.26,41.55,622.96,13.68
OCT,3,15,43.73,3.28,0.24,4.71,63.57,16.41,3.96,91.78,24.92,39.44,622.25,16.41
OCT,3,16,39.37,9.88,0.26,5.51,62.54,7.15,4.19,80.36,24.9,39.65,621.74,7.15
OCT,3,17,32.98,12.79,0.3,6.84,63.16,9.97,4.13,77.97,24.27,40.03,621.58,9.97
OCT,3,18,27.12,12.77,0.29,8.45,60.43,11.49,4.29,79.74,23.52,42.49,621.76,11.49
OCT,3,19,18.3,26.49,0.35,11.69,61.53,10.82,3.61,63.64,22.35,46.92,622.22,10.82
OCT,3,20,12.68,26.83,0.44,14.64,58.73,19.69,3.09,67.35,21.01,54.03,622.83,19.69
OCT,3,21,15.26,38.21,0.24,8.05,61.45,21.59,2.74,59.73,19.57,62.52,623.42,21.59
OCT,3,22,11.27,7.46,0.2,9.27,51.72,9.34,2.55,95.8,18.23,68.4,624.05,9.34
OCT,3,23,9.86,3.91,0.11,8.84,30.07,6.11,2.85,101.93,17.24,72.76,624.3,6.11
OCT,4,0,14.07,2.53,0.05,4.05,18.08,5.4,2.69,86.53,16.61,74.94,624.35,5.4
OCT,4,1,15.35,2.3,0.03,2.5,16.81,7.33,2.9,84.54,15.87,78.99,624.25,7.33
OCT,4,2,15.79,2.9,0.01,0.4,11.87,5.95,2.91,85.48,15.73,79.79,624.19,5.95
OCT,4,3,9.9,2.2,0.01,4.38,6.29,3.38,2.54,83.4,15.07,81.74,623.91,3.38
OCT,4,4,5.45,2.2,0.05,8.3,11.75,5.14,2.17,81.6,14.48,84.48,623.71,5.14
OCT,4,5,0.8,4.08,0.12,13.14,20.3,7.34,1.89,93.97,14.23,85.69,623.72,7.34
OCT,4,6,1.56,8.2,0.48,14.36,37.5,9.44,1.96,124.08,14.33,85.6,623.93,9.44
OCT,4,7,0.8,14.1,0.73,15.54,78.32,12.95,2.74,106.17,14.47,85.17,624.18,12.95
OCT,4,8,0.8,10.13,0.66,11.95,72.45,14.14,2.33,96.4,15.26,81.8,624.53,14.14
OCT,4,9,9.41,46.48,0.41,8.28,68.64,19.18,3.6,74.49,17.66,73.52,624.69,19.18
OCT,4,10,21.33,16.07,0.29,2.48,63.78,36.25,5.25,77.89,19.71,61.9,624.8,36.25
OCT,4,11,26.12,8.34,0.28,2.39,55.17,10.61,4.62,75.41,21.25,53.83,624.75,10.61
OCT,4,12,30.7,5.8,0.29,2.78,48.72,10.54,4.5,80.81,23.14,46.21,624.35,10.54
OCT,4,13,33.01,8.61,0.32,4.22,56.76,13.2,4.11,71.62,23.98,43.09,623.56,13.2
OCT,4,14,37.4,5.92,0.24,3.12,55.77,21.32,4.39,77.19,24.96,38.86,622.65,21.32
OCT,4,15,37.57,7.79,0.21,3.11,47.91,11.3,4.15,83.35,25.94,35.78,621.87,11.3
OCT,4,16,34.98,10.95,0.21,3.55,51.35,10.07,4.47,80.5,26.27,33.9,621.23,10.07
OCT,4,17,31.64,14.11,0.26,4.72,52.03,9.64,4.18,64.82,25.97,34.37,620.84,9.64
OCT,4,18,27.9,16.7,0.26,5.13,44.09,12.22,4.39,42.95,24.95,37.22,621,12.22
OCT,4,19,22.07,8.22,0.24,5.02,45.11,9.86,4.98,41.06,23.05,43.67,621.43,9.86
OCT,4,20,15.6,71.4,0.49,10.81,38.7,7.21,4.37,46.21,21.67,49.26,622.15,7.21
OCT,4,21,14.77,117.57,0.31,10.14,55.83,11.29,3.67,53.93,20.5,54.37,622.85,11.29
OCT,4,22,15.04,20.62,0.17,6.09,39.71,20.53,2.59,77.51,19.2,60.23,623.47,20.53
OCT,4,23,14.08,11.99,0.11,6.21,28.71,7.55,2.66,86.29,18.27,65.13,623.73,7.55
OCT,5,0,15.26,5.76,0.05,1.51,26.49,5.91,3.45,84.19,17.02,71.9,623.8,5.91
OCT,5,1,13.96,4.89,0.05,0.4,9.94,5.45,3.31,85.72,16.42,74.54,623.82,5.45
OCT,5,2,12.72,27.21,0.02,2.27,18.97,6.13,3.43,82.9,16.51,73.32,623.77,6.13
OCT,5,3,8.91,63.58,0.01,7.82,22.46,18.17,3.23,76.73,16.49,73.31,623.52,18.17
OCT,5,4,16.18,14.95,0.01,1.02,27.42,35.16,3.16,89.1,16.39,72.9,623.22,35.16
OCT,5,5,15.05,3.82,0.04,0.4,18.26,10.91,3.36,87.22,16.13,74.4,623.36,10.91
OCT,5,6,9.99,3.4,0.3,6.17,19.92,8.55,2.53,95.94,15.86,76.2,623.51,8.55
OCT,5,7,0.8,2.98,0.62,13.71,77.21,10.4,2.24,108.41,15.48,78.64,623.71,10.4
OCT,5,8,9.84,6.44,0.49,8.04,68.2,16.67,3.04,90.24,15.98,76.78,624.1,16.67
