DATOS HORARIOS 2018_DIF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,HR,PBAR,PM2.5
MAY,1,0,8.83,2.3,0.13,5.04,41.49,23.39,2.1,132.48,19.28,38.61,624.25,23.39
MAY,1,1,8.72,2.28,0.06,4.14,33.08,17.92,2.29,104.63,20.11,41.33,624.44,17.92
MAY,1,2,7.59,4.21,0.04,4.46,35.48,18.92,2.13,86.56,19.47,43.32,624.38,18.92
MAY,1,3,5.9,3.16,0.09,6.98,54.39,22.75,2.04,90.95,18.37,49.11,624.08,22.75
MAY,1,4,4.18,13.95,0.1,10.87,52.83,28.36,2.4,110.96,17.98,51.58,623.84,28.36
MAY,1,5,1.93,7.08,0.11,11.79,54.77,29.24,2.15,94.22,16.57,54.97,623.83,29.24
MAY,1,6,NA,6.17,0.14,13.61,64.61,32.95,1.82,96.72,15.39,57.76,623.93,32.95
MAY,1,7,NA,4.9,0.27,13.06,68.59,32.45,1.38,98.64,16.58,56.94,624.09,32.45
MAY,1,8,0.8,6.85,0.36,12.35,95.97,37.35,1.44,126.66,18.14,50.76,624.53,37.35
MAY,1,9,2.22,7.67,0.38,12.45,95.37,44.34,1.76,102.52,18.45,44.33,624.77,44.34
MAY,1,10,7.98,4.67,0.34,9.74,72.09,44.77,1.42,236.42,23.2,37.52,624.87,44.77
MAY,1,11,13.26,3.29,0.28,6.26,53.96,31.71,2.48,269.52,24.9,34.98,624.75,31.71
MAY,1,12,17.7,3.02,0.21,3.23,44.05,16.35,2.57,279.53,26.68,31.41,624.31,16.35
MAY,1,13,19.99,2.76,0.17,1.34,42.5,24.21,2.88,264.38,27.05,28.76,623.71,24.21
MAY,1,14,20.44,2.5,0.14,0.4,39.22,23.29,2.91,269.03,25.69,22.77,622.86,23.29
MAY,1,15,20.14,2.45,0.13,0.42,30.62,18.89,2.81,257.55,29.58,21.54,622.3,18.89
MAY,1,16,15.7,2.21,0.13,1.04,48.66,13.64,4.45,214.3,26.94,20.48,622.22,13.64
MAY,1,17,11.26,2.2,0.08,0.61,416.57,35.27,8.07,227.39,22.61,29.09,622.44,35.27
MAY,1,18,12.19,2.2,0.06,0.4,107.36,41.85,4.65,242.36,23.2,33.53,623.47,41.85
MAY,1,19,12.18,2.22,0.07,0.4,46.68,20.55,4.24,242.93,21.78,38.19,623.9,20.55
MAY,1,20,11.05,2.34,0.13,2.35,60.61,25.97,2.84,264.91,20.16,38.72,624.3,25.97
MAY,1,21,11.36,2.2,0.1,1.63,35.44,NA,2.14,241.57,18.72,41.9,624.98,NA
MAY,1,22,8.71,2.4,0.11,3.29,35.76,18.58,2.49,160.83,20.53,44.93,625.67,18.58
MAY,1,23,8.18,2.28,0.11,2.99,30.4,14.38,2.97,131.93,20.54,45.12,626.17,14.38
MAY,2,0,8.14,2.43,0.08,4.12,42.49,18.21,3.68,87.78,19.79,48.7,626.39,18.21
MAY,2,1,10.87,2.36,0.02,2.5,39.51,19.53,3.24,89.01,18.39,52.52,626.15,19.53
MAY,2,2,10.47,2.41,0.01,2.23,24.11,8.01,3.48,99.54,19.31,53.26,625.59,8.01
MAY,2,3,8.64,2.75,0.01,4.03,26.99,15.61,2.02,108.42,18.07,55.49,625.06,15.61
MAY,2,4,6.83,2.68,0.01,4.96,25.8,18.38,1.86,133.49,17.25,56.95,624.65,18.38
MAY,2,5,5.66,2.33,0.01,3.98,21.67,18,1.28,246.46,17.42,59.08,624.25,18
MAY,2,6,3.41,2.2,0.01,4.48,28.67,15.63,1.08,244.68,17.39,57.74,624.53,15.63
MAY,2,7,NA,2.56,0.25,9.07,62.96,19.16,0.98,126.21,17.26,58.48,624.71,19.16
MAY,2,8,0.8,2.66,0.33,9.08,113.1,32.2,1.26,286.55,18.09,54.22,624.98,32.2
MAY,2,9,0.8,2.84,0.33,8.48,80.46,32.12,1.98,119.89,21.16,45.25,625.25,32.12
MAY,2,10,4.59,2.48,0.26,7.39,46.3,18.34,2.85,138.55,22.71,40.56,625.33,18.34
MAY,2,11,17.37,2.34,0.15,4.2,27.68,16.94,2.17,103.32,23.61,35.6,625.25,16.94
MAY,2,12,11.88,2.32,0.16,2.35,39.72,20.15,2.64,170.85,26.62,30.76,624.81,20.15
MAY,2,13,11.8,3.2,0.13,0.74,34.98,20.22,2.2,235.67,26.88,26.26,624.15,20.22
MAY,2,14,13.07,6.56,0.18,1.28,34.66,17.29,2.25,107.95,29.09,23.5,623.4,17.29
MAY,2,15,14.14,5.98,0.18,1.59,35.95,19.38,2.14,149.56,30.48,20.81,622.62,19.38
MAY,2,16,14.3,5.08,0.15,2.24,36.68,24,2.51,110.78,27.8,19.33,621.93,24
MAY,2,17,14.38,3.35,0.12,2.5,41.2,27.1,2.56,138.44,30.85,18.29,621.36,27.1
MAY,2,18,9.03,2.44,0.12,4.14,40.07,20.73,4.05,154.44,29.43,19.88,621.4,20.73
MAY,2,19,7.56,2.65,0.18,5.3,82.42,22.77,5.66,161.36,26.35,27.91,621.9,22.77
MAY,2,20,4.55,2.53,0.22,6.02,79.04,30.36,4.22,152.89,25.84,31.93,622.38,30.36
MAY,2,21,4.59,2.53,0.23,5.17,55.73,33.62,3.98,144.57,25.04,34.28,622.98,33.62
MAY,2,22,5.88,2.62,0.23,4.59,43.53,20.57,3.1,148.95,22.57,35.86,623.64,20.57
MAY,2,23,5.7,2.57,0.2,4.35,50.83,19.86,2.66,144.5,23.51,36.82,624.24,19.86
MAY,3,0,4.9,2.64,0.17,4.36,49.69,27.9,2.18,170.86,20.75,39.83,624.7,27.9
MAY,3,1,3,2.59,0.14,4.84,36.67,23.21,2.17,201.83,22.94,39.97,624.67,23.21
MAY,3,2,1.5,2.46,0.11,4.31,44.6,28.75,2.58,280.05,22.11,43.75,624.5,28.75
MAY,3,3,3.86,2.42,0.05,4.23,44.18,24.91,3.83,301.5,19.98,50.64,624.31,24.91
MAY,3,4,5.72,2.47,0.02,3.45,36.78,18.92,3.67,305.82,18.58,61.66,624.51,18.92
MAY,3,5,4.8,2.49,0.02,4.09,29.17,23.51,2.63,286.18,18.04,66.06,624.61,23.51
MAY,3,6,1.91,2.4,0.03,5.35,30.5,22.15,2.29,259.97,16.76,68.37,624.66,22.15
MAY,3,7,2.67,2.48,0.1,6.3,31.6,NA,1.91,226.91,17.67,63.87,624.86,NA
MAY,3,8,8.07,2.41,0.1,4.76,39.17,17.93,2.07,266.78,18.85,59.8,625.2,17.93
MAY,3,9,11.22,2.41,0.08,3.05,33.83,22.18,1.74,281.49,21.34,50.61,625.31,22.18
MAY,3,10,14.17,2.41,0.07,2.34,53.64,18.23,1.94,270.31,22.34,42.88,625.39,18.23
MAY,3,11,17.18,2.35,0.06,1.53,28.78,15.16,2.3,277.6,22.83,38.22,625.07,15.16
MAY,3,12,17.48,2.49,0.09,1.38,37.12,21.61,2.51,254.22,26.8,34.14,624.67,21.61
MAY,3,13,17.96,2.35,0.1,1.47,33.28,21.36,2.83,282.65,27.63,30.54,624.16,21.36
MAY,3,14,18.64,2.22,0.09,1.17,34.02,21.13,2.59,271.17,27.29,27.9,623.46,21.13
MAY,3,15,18.17,2.3,0.09,1.24,31.23,21.83,3.83,236.75,29.51,27.07,622.71,21.83
MAY,3,16,19.99,2.34,0.08,0.9,37.64,26.33,3.76,266.35,28.85,27.31,622.07,26.33
MAY,3,17,18.69,2.2,0.08,0.57,56.42,36.85,5.06,265.78,29.06,28.71,621.65,36.85
MAY,3,18,18.98,2.27,0.07,0.4,53.61,25.55,3.92,275.68,28.05,29.51,621.83,25.55
MAY,3,19,17.18,2.25,0.09,0.4,67.13,27.05,3.96,247.76,25.1,33.91,622.37,27.05
MAY,3,20,10.17,2.2,0.18,2.2,82.52,24.64,4.46,163.06,20.06,62.62,623.44,24.64
MAY,3,21,9.94,2.28,0.17,2,46.44,23.37,5.34,69.28,17.17,76.96,624.62,23.37
MAY,3,22,12.57,2.21,0.13,0.64,28.49,NA,4.49,72.09,17.55,80.23,625.14,NA
MAY,3,23,13.24,2.89,0.08,0.86,11.48,NA,3.44,82.06,16.86,74.78,625.16,NA
MAY,4,0,12.26,2.28,0.04,1.2,13.41,NA,2.86,91.52,17.97,78.14,625.14,NA
MAY,4,1,10.01,2.35,0.03,2.11,16.32,NA,2.55,108.02,17.71,80.97,625.1,NA
MAY,4,2,8.79,2.23,0.04,3.86,23.13,12.52,2.25,73.89,16.41,78.89,624.78,12.52
MAY,4,3,9.94,2.25,0.04,2.76,10.71,NA,2.36,77.85,18.24,74.35,624.34,NA
MAY,4,4,7.42,2.36,0.06,4.61,14.47,11.33,1.15,135.71,17.54,78.96,624.18,11.33
MAY,4,5,4.65,2.42,0.07,5.95,21.85,11.14,1.71,172.11,15.17,79.87,624.07,11.14
MAY,4,6,0.8,2.52,0.17,8.63,32.4,12.58,1.55,138.88,16.82,82.18,624.25,12.58
MAY,4,7,NA,2.63,0.36,10.66,43.75,22.37,1.73,109.59,16.54,79.84,624.47,22.37
MAY,4,8,NA,3.01,0.45,11.45,50.9,22.37,2.33,113.75,15.75,74.65,624.65,22.37
MAY,4,9,0.8,4.23,0.46,11.54,47.81,23,1.67,121.56,20.37,64.58,624.71,23
