DATOS HORARIOS 2018_DIF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,HR,PBAR,PM2.5
SEP,1,0,22.68,2.2,0.04,3.64,40.67,10.75,2,105.88,14.97,94.24,624,10.75
SEP,1,1,16.63,2.42,0.03,8.53,NA,8.34,1.7,85.5,14.92,93.48,624.03,8.34
SEP,1,2,15.97,7.07,0.06,5.92,12.61,6.9,1.66,72.15,15.13,93.48,623.77,6.9
SEP,1,3,21.38,4.21,0.01,5.05,10.4,10.66,1.94,96.63,14.91,93.46,623.75,10.66
SEP,1,4,16.83,2.96,0.01,7.19,8.52,10.88,2.07,82.54,14.8,93.49,623.72,10.88
SEP,1,5,17.33,5.74,0.01,4.54,8.38,6.76,1.22,54.63,14.95,92.98,623.49,6.76
SEP,1,6,3.92,3.75,0.2,16.34,8.56,8.45,1.63,152.49,14.8,92.04,623.46,8.45
SEP,1,7,0.8,2.78,0.44,19.79,11.79,8.63,1.6,164.39,14.03,93.27,623.38,8.63
SEP,1,8,2.47,2.67,0.6,16.94,14.93,7.85,1.42,157.43,15.28,91.92,623.75,7.85
SEP,1,9,14.9,2.81,0.47,9.23,13.45,10.8,1.7,133.34,16.91,83.33,624.04,10.8
SEP,1,10,19.21,3.02,0.45,7.31,15.12,10.15,2.13,103.6,18.61,75.13,624.33,10.15
SEP,1,11,25.71,2.79,0.31,3.98,21.01,11.28,2.11,113.55,20.18,68.71,624.21,11.28
SEP,1,12,37.31,2.82,0.3,3.3,24.39,14.04,1.92,116.84,22.09,59.84,623.91,14.04
SEP,1,13,44.9,2.83,0.17,1.61,28.2,13.09,1.64,212.62,23.48,52.88,623.45,13.09
SEP,1,14,47.91,3.35,0.15,1.4,23.88,13.03,2.15,259.77,24.68,50.75,622.82,13.03
SEP,1,15,45.53,3.25,0.17,1.52,31.93,16.35,2.08,238.99,25.44,46.99,621.94,16.35
SEP,1,16,41.96,2.71,0.15,3.02,27.48,22.45,2.02,237.93,26.19,44.24,621.37,22.45
SEP,1,17,40.54,2.72,0.11,2.55,26.48,18.97,2.45,261.15,26.47,42.4,620.99,18.97
SEP,1,18,37.78,2.6,0.1,2.53,25.19,15.11,3.68,246.59,25.21,47.25,621.02,15.11
SEP,1,19,16.54,2.2,0.15,3.83,42.74,12.36,5.5,220.71,19.93,71.22,621.6,12.36
SEP,1,20,19.21,2.2,0.26,9.97,29.79,3.71,3.56,165.55,18.99,69.53,622.55,3.71
SEP,1,21,19.29,2.2,0.25,13.17,29.75,4.44,1.67,188.26,17.99,75.49,622.83,4.44
SEP,1,22,10.59,2.27,0.21,15.59,17.17,13.2,1.25,267.9,17.64,81.76,623.27,13.2
SEP,1,23,2.61,2.3,0.35,17.94,20.38,15.14,1.34,95.88,17.4,86.63,623.65,15.14
SEP,2,0,1.45,2.32,0.19,15.46,18.64,17.27,1.66,104.67,17.14,88,623.75,17.27
SEP,2,1,0.8,2.97,0.15,18.41,30.24,14.77,2.02,116.41,16.82,88.82,623.72,14.77
SEP,2,2,0.8,3.13,0.08,10.7,20.83,17.94,1.42,152.66,16.22,91.12,623.56,17.94
SEP,2,3,0.8,5.26,0.08,8.43,13.72,9.25,1.73,88.17,15.86,92.69,623.41,9.25
SEP,2,4,4.69,6.18,0.04,3.74,16.22,15.81,1.67,292.82,15.22,94.66,623.32,15.81
SEP,2,5,6.8,3.73,0.01,4.52,9.54,16.91,1.62,281.67,15.03,95.39,623.38,16.91
SEP,2,6,7.48,3.1,0.05,4.14,7.68,2.71,1.4,263.36,15.02,95.56,623.38,2.71
SEP,2,7,2.88,2.87,0.12,5.21,7.24,6.3,1.59,269.08,15,95.39,623.56,6.3
SEP,2,8,8.79,2.62,0.17,6.51,10.41,8.97,1.48,282.08,15.42,95.1,623.75,8.97
SEP,2,9,30.53,2.74,0.12,4.03,7.29,10.94,1.07,297.54,18.14,84.34,623.93,10.94
SEP,2,10,29.79,4.42,0.38,8.95,10.97,12.58,1.5,105.38,18.91,75.33,624.09,12.58
SEP,2,11,30.62,6.1,0.31,6.07,24.01,15.86,1.49,242.69,19.8,72.78,623.95,15.86
SEP,2,12,44.86,19.89,0.26,6.3,13.95,15.25,1.49,275.34,21.76,63.66,623.63,15.25
SEP,2,13,40.97,8.99,0.26,3.74,35.92,32.75,1.95,239.13,22.26,61.55,623.25,32.75
SEP,2,14,40.06,3.81,0.05,0.4,16.42,17.93,2.11,290.47,23.44,55.36,622.58,17.93
SEP,2,15,45.09,3.77,0.04,0.4,9.68,9.11,1.79,272.93,25.69,45.43,621.78,9.11
SEP,2,16,49.79,3.86,0.07,1.09,15.32,17.81,2,251.62,26.42,41.78,621.04,17.81
SEP,2,17,58.61,2.84,0.05,0.55,20.87,15.77,2.14,290.42,26.67,40.83,620.59,15.77
SEP,2,18,59.62,2.74,0.12,1.96,26.26,11.69,2.4,297.25,25.32,46.25,620.76,11.69
SEP,2,19,36.77,2.68,0.18,4.99,28.25,8.34,2.02,275.06,23.33,57.29,621.18,8.34
SEP,2,20,26.37,2.62,0.28,13.01,27.12,6.91,2.31,296.94,21.82,62.81,621.81,6.91
SEP,2,21,23.43,2.5,0.24,10.16,33.77,7.83,3.52,235.1,19.51,69.49,622.5,7.83
SEP,2,22,27.53,2.42,0.07,3.34,24.19,15.18,3.96,239.51,17.92,71.33,623.07,15.18
SEP,2,23,30.78,2.28,0.02,2.87,10.42,9.22,2.15,260.68,17.39,74.7,623.26,9.22
SEP,3,0,28.71,2.29,0.02,3.49,9.01,NA,1.6,188.77,17.22,76.2,623.72,NA
SEP,3,1,26.01,2.4,0.02,3.69,8.49,5.89,3.42,153.37,16.28,83.81,624.02,5.89
SEP,3,2,33,2.33,0.01,0.4,14.4,8.75,4.42,159.17,14.71,93.47,624.16,8.75
SEP,3,3,35.56,2.2,0.01,0.4,2.21,NA,2.24,153.43,14.54,92.69,623.89,NA
SEP,3,4,30.6,2.2,0.01,0.4,3.67,NA,1.71,286.09,14.43,92.29,623.27,NA
SEP,3,5,25.5,2.93,0.01,1.69,7.58,3.87,1.58,309.21,14.11,93.31,623.14,3.87
SEP,3,6,13.89,4.7,0.37,11.65,13.79,6.66,1.17,226.28,14.05,93.69,623.1,6.66
SEP,3,7,0.8,4.37,1.06,25.56,20.56,10.9,1.9,113.78,14.06,93.72,623.19,10.9
SEP,3,8,0.8,4.05,0.78,22.46,20.98,16.78,2.04,108.93,15.03,90.79,623.54,16.78
SEP,3,9,23.65,3.63,0.4,9.73,21.81,NA,2.55,119.51,16.75,82.35,623.7,NA
SEP,3,10,21.01,3.98,0.31,9.78,32.63,15.65,2.13,122.56,18.84,72.68,623.81,15.65
SEP,3,11,42.57,5.82,0.2,2.87,29.5,26.53,2.39,97.21,20.35,65.53,623.75,26.53
SEP,3,12,46.6,4.3,0.34,3.24,36.82,18.27,2.63,99.81,22.05,59.78,623.54,18.27
SEP,3,13,47.64,3.54,0.27,2.57,49.7,15.45,2.72,88.35,23.09,55.03,623.15,15.45
SEP,3,14,48.85,3.89,0.23,1.48,48.53,18.74,2.87,92.05,24.3,49.06,622.54,18.74
SEP,3,15,50.75,10.36,0.1,0.4,37.25,15.7,2.38,74.02,25.85,42.32,621.82,15.7
SEP,3,16,51.95,14.14,0.09,0.4,38.57,23.57,2.31,90.99,26.54,36.38,620.91,23.57
SEP,3,17,51.66,3.92,0.15,1.41,41.2,22.97,2.28,105.93,27.08,32.64,620.41,22.97
SEP,3,18,47.9,3.79,0.27,6.98,47.74,12.08,2.7,136.65,26.84,34.36,620.36,12.08
SEP,3,19,39.39,2.91,0.36,14.6,84.05,11.57,2.31,177.35,25.41,39.43,620.47,11.57
SEP,3,20,32.82,2.69,0.28,13.45,105.17,10.93,1.96,246.71,22.75,52.11,620.97,10.93
SEP,3,21,32.89,2.41,0.11,6.23,42.06,12.33,2.5,242.06,20.17,63.41,621.62,12.33
SEP,3,22,33.51,2.2,0.02,0.4,25.12,11.3,1.92,294.13,18.7,67.32,622.51,11.3
SEP,3,23,31.29,2.49,0.08,1.61,19.97,10.63,1.65,316.13,18.53,71.85,623.03,10.63
SEP,4,0,29.75,2.2,0.02,1.18,15.14,NA,1.31,320.24,18.33,74.37,622.93,NA
SEP,4,1,22,2.2,0.03,5.68,7.41,NA,1.74,99.45,17.8,79.11,623.07,NA
SEP,4,2,20.26,3.03,0.07,6.24,26.34,11.86,2.5,118.91,17.1,83.29,622.96,11.86
SEP,4,3,22.55,3.66,0.09,5.93,19.95,12.44,1.83,137.92,16.46,88.68,622.7,12.44
SEP,4,4,24.96,3.17,0.1,1.95,20.35,NA,1.28,127.87,16.4,88.13,622.54,NA
SEP,4,5,12.12,2.74,0.16,11.13,20.37,15.93,1.2,198.93,15.97,89.76,622.48,15.93
SEP,4,6,NA,2.98,0.28,18.52,25.04,13.31,1.53,296.63,15.58,92.22,622.7,13.31
SEP,4,7,0.8,3.18,0.48,16.81,42.32,22.29,1.35,285.95,15.33,93.32,622.99,22.29
SEP,4,8,6.86,3.04,0.45,13.82,42.67,20.88,1.71,263.45,16.4,88.6,623.4,20.88
SEP,4,9,22.14,4.58,0.29,4.32,34,20.74,1.57,276.3,18.12,80.28,623.66,20.74
SEP,4,10,30.9,23.55,0.48,6.83,34.96,23.17,1.79,91.35,20.98,65.63,623.89,23.17
SEP,4,11,34.29,6.24,0.34,1.82,62.92,38.36,3.09,102.84,21.72,61.07,623.97,38.36
SEP,4,12,36.91,3.67,0.43,3.51,45.2,14.32,3.23,127.66,22.43,58.65,623.66,14.32
SEP,4,13,40.26,3.29,0.33,2.69,41.39,14.58,2.55,102.7,23.73,53.26,623.12,14.58
SEP,4,14,38.62,5.11,0.33,3.12,44.41,18.16,2.73,105.43,24.05,50.87,622.45,18.16
SEP,4,15,41.15,4.91,0.28,1.61,40.85,17.89,2.5,114.31,25.43,46.14,621.69,17.89
SEP,4,16,41.05,3.37,0.27,2.49,48.44,20.33,2.57,127.43,25.72,43.92,620.86,20.33
SEP,4,17,42.47,5.2,0.26,2.07,37.53,18.99,1.45,153.02,26.3,42.01,620.45,18.99
SEP,4,18,43.02,18.41,0.42,4.7,36.46,13.64,1.67,129.16,26.65,39.36,620.21,13.64
SEP,4,19,29.58,4.15,0.37,15.7,64.44,17.4,1.95,139.91,24.98,45.65,620.21,17.4
SEP,4,20,25.04,3.26,0.46,19.68,59.19,13.82,1.86,222.97,23.21,55.59,620.64,13.82
SEP,4,21,19.04,3.44,0.38,22.13,51.88,20.46,1.73,318.69,21.44,65.02,621.5,20.46
SEP,4,22,16.92,8.15,0.31,16.74,47.26,21,1.92,61.17,22.11,52.53,622.16,21
SEP,4,23,17.18,3.88,0.08,7.26,33.22,15.28,3.47,86.01,20.18,59.26,622.64,15.28
SEP,5,0,15.08,2.24,0.04,7.32,23.35,5.91,2.7,95.77,18.87,64.75,622.85,5.91
SEP,5,1,3.56,7.05,0.07,20.97,27.64,6.62,2.8,95.71,18.11,69.94,623.01,6.62
SEP,5,2,12.99,12.49,0.02,9.94,25.42,16.52,2.46,75.33,17.78,70.34,622.91,16.52
SEP,5,3,14.65,8.56,0.01,10.06,20.12,NA,2.69,89.16,17.35,69.88,622.62,NA
SEP,5,4,11.51,4.21,0.01,8.87,26.48,12.24,1.91,125.81,15.95,76.74,622.84,12.24
SEP,5,5,4.07,4.57,0.03,17.48,22.85,10.68,1.41,88.2,15.14,80.42,622.81,10.68
SEP,5,6,1.79,5.12,0.48,20.77,45.1,18.9,1.47,102.06,14.88,81.43,623.01,18.9
SEP,5,7,0.8,3.61,0.6,18.18,110.43,21.47,1.72,104.07,14.29,82.99,623.52,21.47
SEP,5,8,2.44,3.67,0.61,13.85,87.34,16.38,1.84,95.06,15.37,78.79,623.91,16.38
SEP,5,9,15.23,2.9,0.47,7.65,75.24,22.66,2.79,83.66,17.52,71,624.18,22.66
SEP,5,10,23.81,2.33,0.29,5.78,58.07,19.07,3.71,93.03,19.67,61.04,624.28,19.07
SEP,5,11,30.22,2.2,0.24,4.47,53.89,11.3,3.82,98.62,20.96,55.51,624.26,11.3
SEP,5,12,35.02,2.42,0.3,4.7,40.44,17.09,2.97,101.22,22.59,50.68,623.91,17.09
SEP,5,13,40.87,3.42,0.26,6.22,47.64,12.39,3.08,107.8,23.8,45.35,623.42,12.39
SEP,5,14,46.88,7.1,0.26,7.15,46.96,12.62,2.72,107.1,24.45,43.86,622.86,12.62
SEP,5,15,50.3,5.39,0.17,5.61,47.25,16.34,2.21,101.72,26,38.72,622.21,16.34
SEP,5,16,42.75,11.3,0.18,4.26,48.91,21.21,2.8,107.79,26.69,36.93,621.29,21.21
SEP,5,17,41.27,2.4,0.07,0.4,28.8,18.02,2.85,269.38,26.83,35.52,620.95,18.02
SEP,5,18,37.75,6.13,0.3,0.4,32.42,8.92,2.59,63.44,27.03,33.94,620.8,8.92
SEP,5,19,25.95,6.99,0.31,2.91,52.38,10.15,4.04,44.17,25.43,38.7,621.28,10.15
