DATOS HORARIOS 2018_DIF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,HR,PBAR,PM2.5
AGO,1,0,22.66,2.95,0.02,0.4,34.3,18.24,3.71,79.07,20.74,46.84,624.57,18.24
AGO,1,1,17.06,17.83,0.03,2.75,36.29,15.77,2.84,88.1,19.5,54.4,624.78,15.77
AGO,1,2,18.27,11.18,0.01,1.06,28.15,19.12,2.76,87.32,18.49,55.14,624.91,19.12
AGO,1,3,16.33,4.37,0.02,1.17,21.73,16.29,2.27,91.8,17.5,60.98,625.04,16.29
AGO,1,4,13.95,29.91,0.06,5.19,23.47,14.89,2.03,58.46,17.58,61.33,624.87,14.89
AGO,1,5,15.37,35.03,0.11,2.89,28.34,21.84,2.4,52.42,17.59,60.77,624.63,21.84
AGO,1,6,8.23,6.57,0.18,10.79,26.61,15.11,1.97,73.34,16.61,66.46,624.79,15.11
AGO,1,7,0.8,5.9,0.41,17.02,51.53,11.24,1.88,90.88,15.73,71.31,625.12,11.24
AGO,1,8,4.05,6.89,0.46,11.29,58.2,19.91,2.34,66.17,17.37,66.9,625.23,19.91
AGO,1,9,18.88,18.16,0.29,3.73,64.72,17.8,3.66,80.58,19.45,61.15,625.27,17.8
AGO,1,10,25.67,3.41,0.22,0.4,49.89,22.25,3.96,86.29,20.58,55,625.14,22.25
AGO,1,11,30.14,2.2,0.28,0.4,45.23,12.09,4.59,87.38,22.24,45.35,625.04,12.09
AGO,1,12,37.25,4.52,0.22,0.76,46.57,12.32,4.21,80.47,24,39.83,624.51,12.32
AGO,1,13,40.34,7.11,0.23,1.02,131.78,11.85,4,74.68,25.16,36.81,624.02,11.85
AGO,1,14,41.51,6.45,0.23,0.4,100.82,12.01,3.92,91.87,26.44,32.52,623.54,12.01
AGO,1,15,40.81,7.31,0.09,0.52,34.34,14.06,2.89,88.68,27.11,29.49,622.98,14.06
AGO,1,16,41.89,6.82,0.13,0.52,7.32,NA,2.95,100.66,27.66,29.38,622.28,NA
AGO,1,17,39.21,2.53,0.19,1.53,50.28,4.79,3.04,104.56,27.94,28.37,621.86,4.79
AGO,1,18,32.09,16.32,0.25,3.31,124.41,6.87,3.63,73.12,27.62,27.82,621.62,6.87
AGO,1,19,30.69,26.54,0.59,1.59,118.14,15.84,5.03,42.89,27.1,27.72,621.58,15.84
AGO,1,20,24.19,63.51,0.41,5.42,58.3,18.22,5.38,49.78,25.35,32.4,622.17,18.22
AGO,1,21,20.74,71.91,0.18,7.98,75.73,20.87,5.15,63.05,23.85,34.71,623.08,20.87
AGO,1,22,19.36,6.42,0.17,6.1,48.62,31.48,3.57,91.81,21.62,38.57,623.92,31.48
AGO,1,23,21.28,12.3,0.05,4.31,30.64,9.42,3.45,82.46,20.36,41.67,624.34,9.42
AGO,2,0,21.79,6.48,0.06,3.04,41.77,12.17,2.97,95.61,19.19,46.4,624.4,12.17
AGO,2,1,18.58,2.2,0.02,4.46,36.68,NA,2.42,106.2,18.14,51.26,624.39,NA
AGO,2,2,15.87,2.2,0.01,4.92,24.17,10.28,2.44,109.75,17.08,57.68,624.38,10.28
AGO,2,3,16.34,4.79,0.01,3.65,19.6,10,2.87,103.59,16.43,63.74,624.32,10
AGO,2,4,6.73,5.16,0.03,12.72,25.51,8.82,2.39,96.54,15.67,67.92,624.35,8.82
AGO,2,5,13.12,3.38,0.05,5.03,32.95,8.81,2.99,86.12,15.58,69.84,624.61,8.81
AGO,2,6,6.99,3.63,0.17,12.25,28.82,12.33,2.39,88.7,15.41,71.73,624.68,12.33
AGO,2,7,0.8,6.52,0.38,19.44,56.18,17.32,1.48,117.92,15.23,73.25,624.76,17.32
AGO,2,8,0.8,30.04,0.44,14.54,69.17,24.11,2.3,84.9,17.52,64,624.96,24.11
AGO,2,9,11.36,37.53,0.2,6,68.58,33.13,4.84,62.35,19.32,55.75,625.03,33.13
AGO,2,10,15.51,36.77,0.21,4.95,39.92,29.85,4.63,69.99,20.91,51.54,625.11,29.85
AGO,2,11,19.82,24.4,0.19,3.5,44.24,25.57,4.86,73.97,22.36,45.54,624.89,25.57
AGO,2,12,23.47,12.57,0.21,3.27,52.05,19.49,4.43,76.3,22.92,42.31,624.67,19.49
AGO,2,13,24.07,22.74,0.3,5.1,50.45,14.03,3.89,80.8,24.66,37.18,624.1,14.03
AGO,2,14,25.21,15.29,0.26,4.17,43.54,21.23,4.19,80.55,25.42,35.19,623.36,21.23
AGO,2,15,27.03,11.97,0.22,3.71,37.66,19.87,3.89,80.2,25.54,33.43,622.81,19.87
AGO,2,16,25.62,15.03,0.21,5.17,42,19.25,4.04,78.21,26.23,31.52,622.43,19.25
AGO,2,17,25.88,23.94,0.29,4.6,47.3,16.95,4,65.96,26.71,30.06,622.16,16.95
AGO,2,18,26.72,11.64,0.26,1.62,35.91,16.74,4.58,56.89,26.71,29.77,621.97,16.74
AGO,2,19,24.5,8.95,0.34,2.53,29.52,14.38,4.72,38.03,25.87,30.98,622.05,14.38
AGO,2,20,19.81,4.38,0.31,4.83,29.5,20.38,5,37.52,24.36,34.07,622.43,20.38
AGO,2,21,20.45,16.79,0.76,4.07,28.4,8.85,4.99,38.64,23.06,36.78,623.01,8.85
AGO,2,22,20.85,58.67,1.09,6.33,29.38,9.34,4.64,54.09,22.03,38.36,623.54,9.34
AGO,2,23,20.68,32.61,0.04,4.71,40.22,20.74,4.67,67.86,20.87,40.65,624.14,20.74
AGO,3,0,21.94,18.58,0.02,2.8,30.25,21.65,4.19,75.35,19.66,41.27,624.44,21.65
AGO,3,1,20.24,3.12,0.02,0.4,18.1,10.44,3.09,88.31,18.02,48.84,624.34,10.44
AGO,3,2,14.85,2.38,0.02,3.98,17.02,12.11,3,101.54,17.01,53.22,624.23,12.11
AGO,3,3,20.42,2.2,0.01,0.4,16.17,11.93,3.58,91.86,16.56,55.55,624.15,11.93
AGO,3,4,17.68,39.2,0.01,4.71,22.35,10.09,3.54,70.15,16.1,59.96,623.99,10.09
AGO,3,5,20.3,20.25,0.02,1.34,30.17,25.17,3.45,64.35,16.02,60.66,623.96,25.17
AGO,3,6,8.62,7.87,0.14,9.55,23.82,11.97,2.28,106.71,14.97,65.49,624.09,11.97
AGO,3,7,0.8,6.33,0.25,15.33,40.52,10.33,2.56,81.83,14.22,70.7,624.41,10.33
AGO,3,8,5.84,9.12,0.39,13.52,54.44,18.37,3.11,77.94,16.19,64.27,624.83,18.37
AGO,3,9,32.07,23.21,0.22,4.96,54.99,18.07,4.63,63.58,19.1,53.83,624.97,18.07
AGO,3,10,36.18,16.09,0.22,1.97,54.33,20.27,4.76,74.02,20.22,51.31,625.02,20.27
AGO,3,11,40.43,4.64,0.25,1.63,40.44,18.17,4.25,78.08,21.82,46.81,624.83,18.17
AGO,3,12,43.35,10.58,0.2,1.2,37.89,17.94,3.38,79.88,23.14,41.46,624.39,17.94
AGO,3,13,45.56,12.37,0.2,1.16,39.21,17.72,3.34,85.75,24.07,38.81,623.78,17.72
AGO,3,14,46.18,9.99,0.25,1.47,39.4,14.57,3.45,99.23,25.73,35.57,623.21,14.57
AGO,3,15,45.28,12.68,0.25,2.15,37.56,18.99,2.9,91.28,26.19,33.89,622.63,18.99
AGO,3,16,39.27,17.16,0.19,1.56,33.98,19.88,3.1,75.61,26.71,30.37,622.03,19.88
AGO,3,17,34.15,34.71,0.88,3.8,59.11,11.66,4.34,53.99,25.02,35.77,621.9,11.66
AGO,3,18,32.22,36.82,0.93,4.63,36.77,12.96,4.42,50.57,25.64,33.64,621.67,12.96
AGO,3,19,29.32,14.53,0.22,6.31,33.53,19.1,4.06,59.61,25.62,33.1,621.62,19.1
AGO,3,20,24.07,31.16,0.26,11.88,46.27,18.71,4.17,56.64,24.53,34.41,622.12,18.71
AGO,3,21,28.03,41.56,0.13,6.84,56.79,23,5.15,62.52,23.56,36.45,622.86,23
AGO,3,22,24.03,8.04,0.15,4.12,67.99,14.02,5.01,86.67,20.38,52.96,623.69,14.02
AGO,3,23,24.29,2.63,0.07,2.31,44.39,13.54,4.15,87.91,18.72,57.79,624.37,13.54
AGO,4,0,22.12,3.74,0.06,3.54,46.55,14.95,3.67,83.61,17.76,62.35,624.65,14.95
AGO,4,1,18.79,2.78,0.04,3.71,43.81,NA,3.48,86.02,16.8,66.88,624.59,NA
AGO,4,2,15.09,2.53,0.04,6.58,20.73,5.18,2.97,82.02,16.01,70.52,624.26,5.18
AGO,4,3,16.1,2.49,0.01,4.43,25.37,5.3,3.1,78.63,15.87,70.07,623.72,5.3
AGO,4,4,18.8,2.96,0.01,5.8,15.68,7.15,3.06,84.92,15.71,70.57,623.46,7.15
AGO,4,5,16.95,10.46,0.01,5.67,12.54,7.17,2.99,79.32,15.72,72.74,623.35,7.17
AGO,4,6,11.14,3.74,0.1,11.88,24.65,7.9,1.77,83.86,15.25,75.47,623.43,7.9
AGO,4,7,0.8,7.05,0.33,21.36,36.92,19.69,1.6,102.73,14.95,77.56,623.76,19.69
AGO,4,8,0.8,5.08,0.31,11.23,43.61,16.54,1.44,90.53,15.55,75.32,624.12,16.54
AGO,4,9,0.8,16.13,0.33,11.24,43.85,18.02,1.42,299.4,17.5,67.46,624.35,18.02
AGO,4,10,7.19,29.75,0.37,8.79,42.31,19.89,1.52,241.76,19.71,59.29,624.33,19.89
AGO,4,11,11.07,10.97,0.35,4.9,30.02,26.5,3.16,93.08,21.69,50.58,624.26,26.5
AGO,4,12,15.37,3.14,0.34,4.75,103.47,7.31,4.29,96.47,22.21,43.56,624.06,7.31
AGO,4,13,22.03,2.7,0.27,5.74,136.57,10.01,4.02,89.89,23.25,39.96,623.64,10.01
AGO,4,14,19.92,2.2,0.33,5.47,110.65,12.67,4.67,91.11,24.24,34.66,622.92,12.67
AGO,4,15,20.21,2.2,0.2,3.43,60.29,13.54,4.68,90.1,25.21,32.23,622.23,13.54
AGO,4,16,17.72,11.5,0.19,3.95,38.16,12.82,3.89,86.66,26.14,29.09,621.84,12.82
AGO,4,17,17.83,11.69,0.21,3.32,33.11,12.34,4.12,76.88,26.07,29.5,621.48,12.34
AGO,4,18,14.21,10.1,0.18,2.37,41.88,11.68,5.35,39.69,25.54,29.74,621.3,11.68
AGO,4,19,8.81,36.34,0.27,6.85,32.3,9.2,4.49,48.91,25.06,30.59,621.83,9.2
AGO,4,20,5.26,64.75,0.3,7.62,65.71,11.82,5.04,55.57,23.33,35.64,622.7,11.82
AGO,4,21,1.92,16.1,0.3,8.18,49.75,26.63,3.91,73.83,21.72,41.95,623.16,26.63
AGO,4,22,3.5,14.71,0.19,5.34,44.18,9.77,4.07,77.07,20.62,46.24,623.68,9.77
AGO,4,23,2.58,12.48,0.13,4.84,33.44,12.63,3.5,77.79,19.86,50.41,624.16,12.63
AGO,5,0,3.67,23.96,0.07,5.12,40.05,13.55,4.11,76.94,19.18,54.87,624.21,13.55
AGO,5,1,4.85,6.64,0.05,3.02,31.21,16.93,3.64,87.02,18.09,60.27,623.84,16.93
AGO,5,2,9.12,2.93,0.04,0.82,28.4,12.12,5.49,87.51,17.63,65.07,623.48,12.12
AGO,5,3,6.54,2.69,0.04,1.57,23.86,7.77,4.28,85.58,16.98,69.51,623.27,7.77
AGO,5,4,6.32,2.2,0.04,1.32,15.09,5.76,4.11,85.16,16.55,69.65,623.15,5.76
AGO,5,5,6.27,2.68,0.02,1.11,15.75,7.6,3.53,81.34,16.37,68.73,623.29,7.6
AGO,5,6,3.74,23.62,0.06,5.59,18.21,8.07,3.16,70.06,16.57,67.8,623.36,8.07
AGO,5,7,6.01,6.35,0.14,3.09,18.98,18.8,2.93,90.26,16.31,69.17,623.85,18.8
AGO,5,8,6.36,10.78,0.16,6.02,27.69,5.95,3.15,73.21,16.72,67.76,624.11,5.95
