DATOS HORARIOS 2018_DIF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,HR,PBAR,PM2.5
NOV,1,0,15.31,2.58,0.08,2.88,14.66,NA,2.7,220.32,19,75.27,623.95,NA
NOV,1,1,17.3,2.46,0.03,0.4,19.79,NA,2.6,231.73,18.65,75.48,623.83,NA
NOV,1,2,15.34,2.55,0.04,1.65,17.31,NA,1.71,201.39,18.64,76.1,623.8,NA
NOV,1,3,11.17,2.54,0.03,5.08,20.03,NA,1.55,206.58,18.2,79.02,623.21,NA
NOV,1,4,14.62,2.58,0.02,0.71,15.97,NA,2.22,222.49,17.66,82.66,622.94,NA
NOV,1,5,14.06,2.39,0.01,0.41,13.9,NA,1.49,262.05,16.99,85.61,623.02,NA
NOV,1,6,11.14,2.2,0.01,2.74,15.51,NA,1.18,228.53,16.72,86.81,622.97,NA
NOV,1,7,2.84,2.2,0.06,11.55,18.48,NA,0.84,283.44,16.41,87.76,623.32,NA
NOV,1,8,0.8,2.42,0.48,15.01,31.71,NA,0.68,225.59,16.59,88.22,623.9,NA
NOV,1,9,4.23,2.46,0.47,12.18,36.74,NA,1.24,190.72,17.93,82.9,624.38,NA
NOV,1,10,17.86,2.68,0.23,4.97,35.07,NA,1.48,222.49,20.83,70.25,624.66,NA
NOV,1,11,26.09,2.61,0.1,0.87,25.99,NA,1.42,258.86,21.06,67.11,624.64,NA
NOV,1,12,27.96,2.45,0.16,1.81,24.84,NA,1.59,236.48,21.76,63.64,624.07,NA
NOV,1,13,31.62,2.55,0.09,0.4,17.71,NA,2.02,251.85,23.4,56.82,623.31,NA
NOV,1,14,28.35,2.53,0.11,0.4,20.64,NA,3.13,260.62,23.52,52.64,622.64,NA
NOV,1,15,22.78,2.35,0.04,0.4,42.64,NA,2.71,295.53,20.81,59.68,622.3,NA
NOV,1,16,22.67,2.47,0.06,4.35,15.08,NA,2.12,300.7,21.82,58.88,622.03,NA
NOV,1,17,22.36,2.67,0.14,7.32,27.01,11.32,1.4,280.71,22.48,56.11,621.97,11.32
NOV,1,18,14.23,2.45,0.27,11.03,31.12,22.36,1.4,246.34,22.46,54.82,622.19,22.36
NOV,1,19,5.77,2.65,0.9,19.9,43.43,37.56,1.57,207.58,21.97,56.52,622.43,37.56
NOV,1,20,1.84,2.92,0.6,23.83,61.59,17,1.61,194.23,21.33,61.55,622.87,17
NOV,1,21,11.85,2.54,0.32,13.06,45.55,24.84,1.83,189.56,20.85,64.21,623.27,24.84
NOV,1,22,9.39,2.42,0.32,14.06,44.93,22.18,1.1,179.2,20.08,68.52,623.34,22.18
NOV,1,23,15.3,2.34,0.14,7.89,37.26,22.12,1.45,205.72,19.89,70.76,623.4,22.12
NOV,2,0,13.73,2.34,0.08,6.64,26.01,17.8,1.66,247.72,19.14,75.25,623.51,17.8
NOV,2,1,9.39,2.2,0.04,7.29,25.78,16.05,1,255.69,18.31,79.26,623.45,16.05
NOV,2,2,4.53,2.22,0.05,11.43,25.37,23.9,1.38,230.8,18.06,80.46,623.58,23.9
NOV,2,3,6.76,2.2,0.02,6.45,19.33,12.09,1.46,266.83,17.59,82.2,623.48,12.09
NOV,2,4,3.83,2.24,0.04,10.85,21.5,19.28,1.32,243.22,17.31,83.5,623.27,19.28
NOV,2,5,9.1,2.2,0.03,6.38,21.43,20.9,1.42,223.19,17.27,81.63,623.28,20.9
