DATOS HORARIOS 2018_DIF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,HR,PBAR,PM2.5
JUL,1,0,25.05,2.6,0.01,0.71,40.47,11.25,2.09,240.48,17.97,61.1,625.13,11.25
JUL,1,1,22.66,2.31,0.01,0.9,15.69,9.37,1.81,290.57,18.52,63.9,624.85,9.37
JUL,1,2,19.44,2.2,0.01,1.92,17.07,7.6,1.75,244.18,18.23,67.26,624.32,7.6
JUL,1,3,15.6,2.27,0.01,2.72,13.33,7.37,0.93,288.46,17.41,69.21,623.86,7.37
JUL,1,4,10.17,2.53,0.02,4.5,22.23,8.43,2.82,157.33,17,75.06,624.13,8.43
JUL,1,5,11.22,2.55,0.01,4.14,19.26,16.86,1.54,145.4,16.76,74.42,624.38,16.86
JUL,1,6,6.29,2.42,0.08,6.83,28.4,11.27,1.28,95.69,15.85,79.19,624.8,11.27
JUL,1,7,2.47,2.64,0.27,10.03,45.43,13.37,1.31,110.06,17,79.52,625.04,13.37
JUL,1,8,8.76,2.81,0.28,4.98,63.67,19.77,2.26,104.58,18.39,74.64,625.2,19.77
JUL,1,9,16.02,9.53,0.21,3.66,53.53,24.13,2.35,99.98,19.85,65.13,625.29,24.13
JUL,1,10,20.76,13.89,0.23,3.97,64.96,22.82,2.89,100.85,21.64,60.48,625.22,22.82
JUL,1,11,23.98,7.54,0.27,3.49,64.96,30.78,2.47,104.41,22.08,56.31,625.2,30.78
JUL,1,12,27.94,18.18,0.23,3.31,62.94,25.51,2.28,131.37,22.55,51.38,624.86,25.51
JUL,1,13,34.86,32.04,0.12,3.04,63.77,30.15,2.14,356.23,25.34,47.97,624.41,30.15
JUL,1,14,40.42,16.24,0.15,1.99,62.53,38.71,1.85,227.23,26.65,44.18,623.98,38.71
JUL,1,15,43.17,16.4,0.16,1.78,65.7,34.02,2.37,231.75,26.23,42.24,623.42,34.02
JUL,1,16,43.56,17.56,0.15,2.36,58.79,38.69,2,214.93,24.97,38.36,622.84,38.69
JUL,1,17,42.58,17.46,0.08,0.9,62.93,35.25,2.56,261.08,28.47,37.73,622.27,35.25
JUL,1,18,37.12,9.7,0.04,0.4,47.31,36.87,2.48,261.1,27.57,34.88,622,36.87
JUL,1,19,27.73,14.69,0.17,3.15,55.56,21.99,3.18,61.57,25.74,36.45,622.04,21.99
