DATOS HORARIOS 2018_DIF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,HR,PBAR,PM2.5
FEB,1,0,2.53,2.62,0.22,27.93,59.04,32.25,1.2,283.13,12.88,57.83,625.24,32.25
FEB,1,1,3.21,2.61,0.21,27.46,57.15,30.61,1.04,316.75,12.02,56.48,625.27,30.61
FEB,1,2,0.8,3.17,0.33,33.79,75.05,36.88,0.71,303.03,12.09,57.3,625.03,36.88
FEB,1,3,0.8,2.7,0.63,30.08,71.39,48.3,0.88,318.58,11.87,60.47,624.76,48.3
FEB,1,4,NA,3.91,0.42,30.34,74.11,48.7,1.37,96.78,11.24,65.49,624.37,48.7
FEB,1,5,NA,4.85,0.34,31.75,82.76,45.61,1.68,117.79,10.81,64.85,624.17,45.61
FEB,1,6,NA,12.23,0.56,35.1,90.65,43.38,1.62,118.32,10.64,63.87,624.13,43.38
FEB,1,7,NA,9.59,1.09,33.12,101.23,50.19,1.25,144.02,10.32,64.22,624.56,50.19
FEB,1,8,NA,7.92,1.9,31.4,133.04,42.09,1.25,307.77,9.38,68.74,625.05,42.09
FEB,1,9,0.92,11.47,1.25,37.24,139.65,53.4,0.95,272.35,11.54,56.07,625.55,53.4
FEB,1,10,4.6,24.14,1.24,43.06,NA,47.81,1.7,127.12,14.48,47.33,626.08,47.81
FEB,1,11,11.31,23.1,0.9,32.26,NA,NA,1.46,138.8,15.4,42.22,626.37,NA
FEB,1,12,19.63,211.64,1.24,25.04,NA,NA,1.15,348.79,17.73,35.23,626,NA
FEB,1,13,21.14,97.72,0.64,15.35,83.23,NA,1.62,268.34,19.24,34.87,625.32,NA
FEB,1,14,21.55,15.86,0.32,2.4,8.17,NA,2.42,261.94,19.68,34.56,624.7,NA
FEB,1,15,20.31,6.12,0.13,0.4,6.83,NA,2.46,279.79,19.71,31.15,624.03,NA
FEB,1,16,24.59,5.15,0.09,1,18.76,NA,2.56,285.55,20.57,29.08,623.71,NA
FEB,1,17,18.85,2.83,0.09,0.4,33.74,14.83,2.23,271.75,20.56,29.76,623.8,14.83
FEB,1,18,16.71,2.78,0.17,0.4,32.89,12.39,1.94,245.85,18.55,31.01,624.17,12.39
FEB,1,19,12.09,4.45,0.47,11.91,50.5,11.25,2.57,183.54,20.65,38.58,624.76,11.25
FEB,1,20,7.51,3.57,0.42,11.58,62.18,17.53,2.08,232.83,19.19,43.39,625.09,17.53
FEB,1,21,2.74,3.04,0.34,14.07,48.93,17.87,1.91,290.08,17.52,49.48,625.68,17.87
FEB,1,22,NA,3.36,0.38,20,61.78,16.41,1.71,271.26,16.72,52.98,626.08,16.41
FEB,1,23,1.04,3.02,0.21,15.85,58.02,15.27,1.64,268,15.92,55.97,626.35,15.27
FEB,2,0,0.8,2.99,0.29,15.65,38.1,15.31,1.23,268.53,15.09,59.78,626.38,15.31
FEB,2,1,1.21,2.84,0.15,14.95,31.52,17.94,1.47,273.5,14.08,63.6,626.3,17.94
FEB,2,2,2.58,2.39,0.05,9.79,23.06,20.89,1.44,253.39,12.92,68.54,626.34,20.89
FEB,2,3,3.24,2.31,0.01,10.19,21.11,19.01,0.7,253.58,12.35,72.77,626.47,19.01
FEB,2,4,1.03,2.2,0.01,15.81,21.27,12.7,1.16,249.39,12.1,74.43,626.22,12.7
FEB,2,5,0.8,2.2,0.05,16.53,21.16,13.42,0.63,266.47,11.46,78.44,626.19,13.42
FEB,2,6,NA,2.4,0.29,19.68,49.33,14.49,1.28,105.16,10.83,77.76,626.22,14.49
FEB,2,7,NA,2.36,0.44,18.13,59.7,27.66,0.92,155.53,9.89,79.37,626.5,27.66
FEB,2,8,NA,4.29,1.76,21.27,99.97,22.62,1.19,102.34,9.93,80.61,626.84,22.62
FEB,2,9,0.8,6.28,1.28,26.67,178.34,34.81,2.44,100.04,11.81,69.92,627.13,34.81
FEB,2,10,6,4.24,0.69,17.95,111.37,48.28,3.47,97.17,15.23,57.99,627.34,48.28
