DATOS HORARIOS 2018_DIF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,HR,PBAR,PM2.5
ABR,1,0,NA,8.09,0.22,10.14,60.08,32.85,3.67,77.11,19.69,28,623.7,32.85
ABR,1,1,NA,24.16,0.14,14.15,73.49,26.68,2.93,80.66,17.72,29.63,623.83,26.68
ABR,1,2,NA,3.9,0.06,5.82,40.53,NA,2.91,92.84,15.96,31.58,623.71,NA
ABR,1,3,NA,3.37,0.03,2.82,34.77,14.54,2.78,90,14.39,34.83,623.47,14.54
ABR,1,4,NA,2.86,0.01,2.94,31.57,14.55,2.85,89.39,15.49,36.47,623.19,14.55
ABR,1,5,NA,2.91,0.01,2.68,32.55,14.65,2.83,94.99,15.23,39.16,623.04,14.65
ABR,1,6,NA,6.33,0.02,6.05,36.68,14.37,1.45,147.41,14.69,43.75,623.48,14.37
ABR,1,7,NA,8.26,0.11,8.08,57.69,23.38,1.44,92.5,13.25,46.73,623.88,23.38
ABR,1,8,NA,4.36,0.2,6.29,66.6,28.84,2.4,81.4,15.07,44.19,624.25,28.84
ABR,1,9,NA,9.89,0.29,10.25,70.36,31.31,2.91,95.51,17.54,39.15,624.5,31.31
ABR,1,10,NA,8.12,0.3,10.42,76.31,37.19,2.21,114.94,18.64,33.26,624.72,37.19
ABR,1,11,NA,5.71,0.25,7.57,59.63,25.46,2.1,120.03,22.81,28.03,624.51,25.46
ABR,1,12,NA,3.42,0.2,4.9,37.87,24.49,1.9,134.95,24.59,24.47,624.06,24.49
ABR,1,13,NA,2.98,0.16,3.25,26.64,17.62,2.19,247.68,26.25,22.12,623.33,17.62
ABR,1,14,NA,2.66,0.13,3.26,25.46,24.97,2.52,211.38,26.8,20.63,622.43,24.97
ABR,1,15,NA,2.28,0.11,2.78,27.44,17.89,2.6,252.91,28.97,15.07,621.63,17.89
ABR,1,16,NA,2.21,0.05,1.32,18.79,NA,3.35,252.74,29.51,12.54,620.98,NA
ABR,1,17,NA,2.42,0.04,0.81,30.93,10.95,3.37,267.92,28.37,13.91,620.54,10.95
ABR,1,18,NA,2.54,0.01,0.54,28.78,12.01,3.03,274.35,27.03,14.84,620.3,12.01
ABR,1,19,NA,2.64,0.01,1.61,40.7,11.41,1.91,281.23,27.9,15.1,620.27,11.41
ABR,1,20,NA,2.68,0.14,9.92,47.97,12.4,1.27,250.59,25.3,18.85,620.44,12.4
ABR,1,21,NA,2.96,0.43,19.72,68.19,16.85,1.32,181.71,22.35,20.98,620.7,16.85
ABR,1,22,NA,2.86,0.37,12.58,92.79,28.81,2.47,221.69,23.54,23.07,621.22,28.81
ABR,1,23,NA,2.77,0.24,7.47,52.57,19.86,2.62,240.78,21.75,29.68,621.7,19.86
ABR,2,0,NA,4.7,0.2,8.11,44.5,19.94,1.9,62.28,18.83,34.45,622.06,19.94
ABR,2,1,NA,5.66,0.21,11.02,51.94,21.49,1.84,90.92,19.47,36.5,622.25,21.49
ABR,2,2,NA,4.07,0.17,8.86,55.42,28.35,1.6,210.25,19.5,37.84,622.12,28.35
ABR,2,3,NA,3.03,0.15,6.68,46.06,30.88,1.72,238.09,17.76,39.94,621.81,30.88
ABR,2,4,NA,3.13,0.12,4.28,40.6,26.68,1.68,261.4,17.57,44.47,621.76,26.68
ABR,2,5,NA,3.06,0.13,6.15,36.64,17.9,1.46,279.5,15.79,48.45,621.9,17.9
ABR,2,6,NA,2.96,0.15,6.59,43.04,13.82,1.01,283.23,15.99,51.47,622,13.82
ABR,2,7,NA,2.94,0.2,7.59,52.22,18.21,1.2,278.87,14.36,54.31,622.38,18.21
ABR,2,8,NA,3,0.29,7.41,59.45,19.45,1.08,255.99,17.04,49.34,622.77,19.45
ABR,2,9,NA,2.94,0.28,5.77,63.1,28.33,1.41,290.68,20.33,39.03,623.13,28.33
ABR,2,10,NA,2.95,0.22,4.11,48.21,18.17,3.02,272.21,20.58,37.55,623.31,18.17
ABR,2,11,NA,2.95,0.17,4.18,40.53,21.6,3.45,271.46,22.97,34.79,623.17,21.6
ABR,2,12,NA,2.71,0.12,2.74,28.36,17.13,3.54,275.51,22.52,29.93,622.71,17.13
ABR,2,13,NA,2.56,0.11,2.52,27.77,19.79,3.93,267.67,26.33,26.55,622.1,19.79
ABR,2,14,NA,2.57,0.13,2.47,25.33,17.93,3.75,249.49,27.18,24.96,621.19,17.93
ABR,2,15,NA,2.32,0.11,1.5,24.19,17.6,3.58,276.49,27.62,21.96,620.38,17.6
ABR,2,16,NA,2.33,0.08,0.77,25.49,15.81,3.65,272.99,28.26,20.54,619.73,15.81
