DATOS HORARIOS 2018_DIF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,HR,PBAR,PM2.5
ENE,1,0,0.8,12.69,1.74,49.27,341.48,191.54,1.95,116.58,14.89,33.73,625.59,191.54
ENE,1,1,0.8,19.5,0.9,38.97,306.94,214.21,2.59,105.84,16.03,33.11,625.83,214.21
ENE,1,2,1.12,11.47,1.06,33.25,320.68,227.26,2.98,91.84,15.55,34.25,626.09,227.26
ENE,1,3,0.8,5.95,0.67,21.35,164.31,NA,2.97,85.11,12.78,39.62,626.1,NA
ENE,1,4,0.8,4.81,0.46,15.53,119.36,89.2,2.67,90.37,12.13,45.43,626.19,89.2
ENE,1,5,0.8,3.95,0.32,10.92,75.48,60.78,3.09,85.92,11.06,56.91,626.32,60.78
ENE,1,6,3.72,3.29,0.14,4.69,51.07,38.16,3.48,87.27,10.51,66.31,626.58,38.16
ENE,1,7,4.19,3.19,0.11,3.97,36.2,24.19,3.46,92.25,10.52,69.01,626.73,24.19
ENE,1,8,5.4,2.86,0.09,3.17,31.29,16.72,3.4,82.94,10.49,69.99,626.9,16.72
ENE,1,9,9.6,3.06,0.06,1.45,31.26,17.14,3.79,76.66,11.41,64.86,627.61,17.14
ENE,1,10,13.17,3.05,0.05,0.64,31.37,22.2,4.91,75.9,13.43,56.12,628.17,22.2
ENE,1,11,14.68,3.03,0.06,0.56,59.77,19.14,5.44,78.1,15.54,50.73,628.2,19.14
ENE,1,12,16.53,3.04,0.11,0.97,51.38,19.19,5.11,80.63,17.44,44,627.7,19.19
ENE,1,13,18.99,3.5,0.13,3.08,54.43,19.4,5.3,82.94,18.39,37.96,626.77,19.4
ENE,1,14,20.73,4.77,0.21,5.42,60.67,19.31,4.79,96.25,20.7,34.65,625.75,19.31
ENE,1,15,22.52,4.85,0.24,6.01,60.18,34.01,4.42,93.78,21.02,31.69,625.01,34.01
ENE,1,16,24.27,5.19,0.25,7.25,52.55,22.91,3.63,83.96,21.42,29.35,624.63,22.91
ENE,1,17,24.8,5.03,0.24,8.07,53.22,22.63,3.39,78.65,21.8,29.07,624.28,22.63
