DATOS HORARIOS 2018_DIF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,HR,PBAR,PM2.5
JUN,1,0,12.97,7.32,0.06,7.73,41.17,24.33,1.8,155.38,24.35,19.6,622.41,24.33
JUN,1,1,9.99,7.78,0.05,7.99,42.31,18.7,2.87,110.79,22.65,26.98,622.5,18.7
JUN,1,2,5.43,19.88,0.06,11.8,38.63,23.67,3.21,114.28,21.29,34.95,622.27,23.67
JUN,1,3,12.52,3.7,0.05,2.75,33.78,17.78,2.52,93.76,20.72,40.41,622.15,17.78
JUN,1,4,11.26,2.2,0.08,3.75,30.67,18.85,2.32,91.69,19.85,47.18,622.22,18.85
JUN,1,5,10.65,24.27,0.12,8.62,44.85,20.07,2.72,79.21,19.15,52.06,622.48,20.07
JUN,1,6,9.62,27.21,0.28,11.95,43.22,34.35,3.59,74.44,18.59,54.26,622.79,34.35
JUN,1,7,0.8,67.07,0.43,22.45,74.87,31.39,3.58,79.51,18.53,57.57,623.27,31.39
JUN,1,8,6.5,30.34,0.4,10.96,83.41,43.91,4.36,65.28,20.24,55.62,623.68,43.91
JUN,1,9,17.12,16.03,0.36,8.51,58,39.07,3.97,79.13,21.35,51.19,623.78,39.07
JUN,1,10,23.23,12.85,0.35,8.11,47.28,28.22,2.91,101.67,23.97,38.56,623.59,28.22
JUN,1,11,26.6,25,0.22,10.09,45.27,29.1,2.55,93.86,25.08,26.45,623.21,29.1
JUN,1,12,30.3,5.54,0.25,7.35,29.15,NA,3.05,116.42,24.65,17.56,622.87,NA
JUN,1,13,29.61,4.47,0.26,5.82,45.67,20.54,3.07,114.93,27.05,16.28,622.22,20.54
JUN,1,14,27.32,3.68,0.17,4.34,59.28,6.22,3.84,90.91,29.05,13.75,621.64,6.22
JUN,1,15,29.61,8.87,0.18,4.19,45.44,7.7,4.44,72.71,31.65,12.5,620.92,7.7
JUN,1,16,25.46,22.01,0.13,4.29,42.72,15.23,4.64,60.91,31.76,8.1,620.25,15.23
JUN,1,17,22.67,14.54,0.13,3.61,35.18,12.03,5.09,48.24,33.06,7.41,619.74,12.03
JUN,1,18,22.39,2.2,0.07,2.76,43.06,23.25,6.21,43.83,33.84,9.98,619.67,23.25
JUN,1,19,19.13,2.28,0.08,3.18,60.8,17.04,6.67,36.89,31.69,12.37,620.11,17.04
