DATOS HORARIOS 2018_DIF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,HR,PBAR,PM2.5
MZO,3,7,4.54,3.16,0.06,9.97,40.54,17.4,3.05,106.42,11.84,57.65,624.92,17.4
MZO,3,8,3.06,2.42,0.19,15.14,56.06,20.4,3.19,97.57,11.73,58.35,625.36,20.4
MZO,3,9,3.76,2.22,0.33,16.27,80.2,27.85,2.8,88.24,13.95,52.74,625.9,27.85
MZO,3,10,6.64,2.2,0.32,10.69,81.9,25.4,3.34,87.09,15.98,47.62,626.21,25.4
MZO,3,11,9.51,2.2,0.34,8.26,74.77,23.78,2.61,97.6,17.02,40.77,626.06,23.78
MZO,3,12,11.89,9.22,0.32,8.14,60.82,29.43,1.92,141.14,20.55,34.96,625.57,29.43
MZO,3,13,16.79,18.14,0.53,10.44,91.08,29.54,2,154.95,23.83,31.44,624.77,29.54
MZO,3,14,20.95,9.44,0.41,4.9,162.11,34.74,2.34,267.33,25.54,29.18,623.84,34.74
MZO,3,15,18.95,4.02,0.2,1.41,62.28,29.2,1.95,273.92,26.32,25,622.96,29.2
MZO,3,16,18.25,4.74,0.17,2.55,89.03,25.57,2.02,202.87,26.18,20.5,622.13,25.57
MZO,3,17,16.95,6.06,0.25,7.26,74.01,26.64,1.88,144.63,29.97,16.69,621.61,26.64
MZO,3,18,16.69,8.78,0.22,6.02,51.26,29.02,1.69,237.87,29.37,14.35,621.44,29.02
MZO,3,19,13.48,5.07,0.23,8.45,49.19,22.83,2.19,267.18,27.52,19.2,621.37,22.83
MZO,3,20,4.71,3.58,0.52,28.02,97.83,28.91,1.94,254.67,23.06,21.51,621.5,28.91
MZO,3,21,3.89,3.15,0.63,28.91,215.75,42.73,2.29,27.44,23.27,24.16,622.18,42.73
MZO,3,22,3.46,5.15,0.49,22.17,100.46,33.69,2.5,78.99,23.32,24.82,622.77,33.69
MZO,3,23,0.8,3.65,0.5,25.91,105.05,31.22,2.25,92.9,21.41,28.41,623.14,31.22
MZO,4,0,2.72,3.68,0.35,21.35,80.32,31.49,2.52,130.19,20.24,27.8,623.49,31.49
MZO,4,1,4.4,5.13,0.2,14.81,59.21,22.58,2.76,89.49,18.8,33.86,623.53,22.58
MZO,4,2,4.42,2.91,0.11,11.92,59.97,24.81,2.27,90.3,16.49,40.31,623.44,24.81
MZO,4,3,5.26,2.55,0.05,10.02,52.48,20.92,2,105.87,14.78,42.7,623.33,20.92
MZO,4,4,3.7,5.4,0.06,13.11,44.33,18.17,2.14,114.42,14.39,44.37,623.34,18.17
MZO,4,5,4.4,5.42,0.03,10.9,48.3,21.07,2.59,104.36,14.78,51.4,623.28,21.07
MZO,4,6,5.31,3.85,0.01,7.52,42.46,20.06,2.34,86.3,13.9,56.2,623.5,20.06
MZO,4,7,5.09,2.37,0.02,6.25,36.98,22.08,2.7,87.08,12.48,59.24,623.72,22.08
MZO,4,8,2.94,3.35,0.17,11.53,43.48,17.66,2.15,91.89,12.23,60.28,624.02,17.66
MZO,4,9,3.57,7.07,0.3,14.14,64.27,21.14,2.92,91.64,14.56,55.75,624.28,21.14
MZO,4,10,5.35,6.63,0.38,15.39,78.61,28.88,2.85,103.74,17.48,47.71,624.55,28.88
MZO,4,11,9.25,3.95,0.28,10.36,53.17,27.34,1.76,77.48,20.8,39.94,624.41,27.34
MZO,4,12,13.7,2.55,0.13,3.05,43.37,21.05,2.54,280.91,23.22,36.85,623.92,21.05
MZO,4,13,15.77,2.36,0.08,0.79,45.1,19.26,3.14,274.19,24.6,33.89,623.27,19.26
MZO,4,14,17.34,2.32,0.1,1,43.81,16.84,3.32,273.12,24.49,30.17,622.52,16.84
MZO,4,15,17.74,2.23,0.07,0.4,34.03,22.21,2.93,278.8,27.38,24.37,621.72,22.21
MZO,4,16,16.99,2.59,0.08,1.43,33.46,23.64,2.16,240.99,29.21,19.23,621.05,23.64
MZO,4,17,16.58,2.71,0.04,0.59,26.54,NA,2.5,254.06,29.45,17.49,620.61,NA
MZO,4,18,16.18,4.82,0.05,0.8,31.08,23.57,2.09,259.99,28.95,14.88,620.45,23.57
MZO,4,19,13.04,4.65,0.13,5.69,45.48,33.44,1.89,256.71,25.7,15.07,620.61,33.44
MZO,4,20,6.9,2.7,0.37,21.19,65.96,15.1,1.98,233.72,25.37,20.38,620.84,15.1
MZO,4,21,3.11,3.06,0.77,32.32,70.65,44.98,1.52,191.42,23.88,23.18,621.11,44.98
MZO,4,22,0.8,3.24,1.14,38.71,110.87,46.54,1.24,192.9,22.26,25.99,621.64,46.54
MZO,4,23,2.54,4.5,0.58,27.41,96.81,34.92,2.31,99.76,20.51,31.6,622.13,34.92
MZO,5,0,1.7,3.5,0.37,24.3,89.15,36.02,1.84,180.04,19.38,37.45,622.32,36.02
MZO,5,1,2.52,3.76,0.24,20.59,56.99,32.07,1.64,137.2,19.73,41.78,622.22,32.07
MZO,5,2,1.67,5.04,0.18,18.5,63.57,36.78,1.76,131.27,19,41,622.07,36.78
MZO,5,3,0.94,4.46,0.16,20.43,89.48,30.06,1.22,148.27,18.08,46.43,621.92,30.06
MZO,5,4,2.06,3.31,0.09,15.76,43.9,32.61,1.34,249.33,17.29,50.6,622,32.61
MZO,5,5,5.36,2.7,0.04,9.35,24.57,NA,1.67,237.5,16.05,53.97,622.02,NA
MZO,5,6,4.2,2.63,0.06,11.35,20.71,NA,1.21,236.35,14.69,58.63,622.19,NA
