DATOS HORARIOS 2018_DIF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,HR,PBAR,PM2.5
DIC,1,0,0.8,2.76,0.81,14.58,90.16,18.09,1,287.85,13.4,80.99,622.67,18.09
DIC,1,1,NA,2.8,0.94,13.41,76.32,16.24,1.01,257.89,12.76,84.23,622.55,16.24
DIC,1,2,NA,2.67,0.3,12.41,53.83,16.84,1.08,253.85,11.46,86.88,622.41,16.84
DIC,1,3,NA,2.43,0.07,11.06,38.01,15.57,1.19,260.88,10.71,87.08,622.26,15.57
DIC,1,4,0.8,2.36,0.09,10.48,19.6,16.32,0.62,213.59,10.03,88.37,622.21,16.32
DIC,1,5,0.8,2.23,0.08,9.46,25.39,10.65,0.97,292.89,9.83,89.93,622.21,10.65
DIC,1,6,NA,2.24,0.03,9.11,29.25,11.2,1.26,262.92,9.12,91.09,622.2,11.2
DIC,1,7,0.86,2.22,0.05,8.37,22.85,12.38,0.93,261.09,8.57,93.63,622.43,12.38
DIC,1,8,1.64,2.41,0.33,10.82,26.34,12.51,0.94,282.59,9.47,92.83,622.81,12.51
DIC,1,9,4.65,2.64,0.34,12.86,39.29,19.56,1.62,287.88,11.95,78.05,623.23,19.56
DIC,1,10,13.55,2.72,0.19,10.02,43.6,18.47,1.64,287.94,15.29,67.31,623.4,18.47
DIC,1,11,23.95,2.6,0.05,4.76,27.93,14.91,1.86,278.24,17.96,58.37,623.2,14.91
DIC,1,12,28.89,2.51,0.06,2.74,19.2,NA,1.65,178.6,20.24,50.48,622.62,NA
DIC,1,13,35.47,2.66,0.12,2.91,19.93,18.11,1.76,234.39,21.79,45.18,621.77,18.11
DIC,1,14,39.79,2.43,0.01,0.45,12.37,NA,2.03,240.78,23.47,37.84,620.82,NA
DIC,1,15,40.63,2.23,0.01,0.4,12.64,5.17,2.57,248.03,25.06,26.08,620.11,5.17
DIC,1,16,37.79,2.33,0.14,2.36,19.76,4.56,2.43,238.05,25.67,32.27,619.72,4.56
DIC,1,17,37.98,2.25,0.12,3.39,18.24,2.32,2.12,243.83,25.98,30.41,619.52,2.32
DIC,1,18,35.62,2.2,0.18,7.98,32.79,2.85,1.72,268.18,24.94,28.59,619.57,2.85
DIC,1,19,6.2,2.73,1.4,35.17,69.62,5.29,1.21,285.1,21.65,37.37,619.97,5.29
DIC,1,20,2.26,3.3,1.52,38.59,107.43,22.5,1.66,165.03,19.54,43.88,620.55,22.5
DIC,1,21,5.64,2.68,0.61,18.21,106.01,23.09,2.26,187.48,18.34,59.05,621.11,23.09
DIC,1,22,4.73,2.59,0.47,17.62,51.11,8.01,1.52,224.52,16.86,64.01,621.71,8.01
